op_name,pe,freq_mhz,energy_consumed_uj,executiontime_ns,average_waittime_ns
POTRF(0),0,240,10537128,491832320,0
TRSM(1;0),0,240,32120115,1476915200,0
TRSM(2;0),0,240,32562207,1476883456,0
TRSM(3;0),0,240,32086840,1476908032,0
TRSM(4;0),0,240,32515899,1476941824,0
TRSM(5;0),0,240,32674603,1476915200,0
TRSM(6;0),0,240,32699057,1476936704,0
TRSM(7;0),0,240,32727442,1476914176,0
SYRK(4;0),0,240,30235295,1363446784,0
GEMM(5;4;0),0,240,59697241,2727611392,0
GEMM(6;4;0),0,240,59838636,2727618560,0
GEMM(7;4;0),0,240,59553495,2727621632,0
SYRK(4;1),0,240,342536627,16166135808,119165384294
GEMM(5;4;1),0,240,352086379,16294975488,21709
GEMM(6;4;1),0,240,357504095,16631384064,22528
GEMM(7;4;1),0,240,348932967,16450609152,22528
SYRK(4;2),0,240,380875132,17633589248,34498528461
GEMM(5;4;2),0,240,381678518,17270180864,21709
GEMM(6;4;2),0,240,374886347,17669014528,21914
GEMM(7;4;2),0,240,339419470,16125227008,22118
SYRK(4;3),0,240,29599677,1363610624,3388246221
GEMM(5;4;3),0,240,346564238,16161798144,113314202
GEMM(6;4;3),0,240,372355104,17100160000,22528
GEMM(7;4;3),0,240,255605878,12086743040,22118
POTRF(4),0,240,10557362,491836416,0
TRSM(5;4),0,240,32043829,1476935680,0
TRSM(6;4),0,240,32536519,1476897792,0
TRSM(7;4),0,240,31997018,1476917248,0
POTRF(0),0,240,10524263,491824128,0
TRSM(1;0),0,240,32059886,1476904960,0
TRSM(2;0),0,240,32507206,1476897792,0
TRSM(3;0),0,240,32044510,1476912128,0
TRSM(4;0),0,240,32486080,1476942848,0
TRSM(5;0),0,240,32633619,1476911104,0
TRSM(6;0),0,240,32635829,1476919296,0
TRSM(7;0),0,240,32702932,1476905984,0
SYRK(4;0),0,240,30218942,1363447808,0
GEMM(5;4;0),0,240,59811611,2727657472,0
GEMM(6;4;0),0,240,59570912,2727603200,0
GEMM(7;4;0),0,240,59669145,2727650304,0
SYRK(4;1),0,240,352721119,16381353984,119165384294
GEMM(5;4;1),0,240,355758400,16616611840,21709
GEMM(6;4;1),0,240,363266935,16805452800,22528
GEMM(7;4;1),0,240,359269393,17004694528,22528
SYRK(4;2),0,240,382955215,17571535872,34498528461
GEMM(5;4;2),0,240,383784184,17714392064,21709
GEMM(6;4;2),0,240,368548321,17479797760,21914
GEMM(7;4;2),0,240,330326122,15493716992,22118
SYRK(4;3),0,240,29599820,1363599360,3388246221
GEMM(5;4;3),0,240,357804428,16470162432,113314202
GEMM(6;4;3),0,240,368457485,17097334784,22528
GEMM(7;4;3),0,240,264028982,12475792384,22118
