op_name,pe,freq_mhz,energy_consumed_uj,executiontime_ns,average_waittime_ns
GETRF(0),0,240,20574418,921279488,0
TRSM_R(1;0),0,240,31975763,1477025792,0
TRSM_R(2;0),0,240,31948775,1477037056,0
TRSM_R(3;0),0,240,31964044,1477045248,0
TRSM_R(4;0),0,240,31952577,1477035008,0
TRSM_L(0;4),0,240,30082668,1376711680,0
TRSM_R(5;0),0,240,31970987,1477043200,0
TRSM_R(6;0),0,240,32067326,1477032960,0
TRSM_R(7;0),0,240,31626209,1477030912,0
GEMM(1;4;0),0,240,59238735,2727635968,0
GEMM(2;4;0),0,240,58950581,2727615488,0
GEMM(3;4;0),0,240,59001702,2727641088,0
GEMM(4;4;0),0,240,58972421,2727632896,0
GEMM(5;4;0),0,240,58985356,2727632896,0
GEMM(6;4;0),0,240,58999111,2727613440,0
GEMM(7;4;0),0,240,58956802,2727632896,0
TRSM_L(1;4),0,240,101316108,4579943424,121979364966
GEMM(2;4;1),0,240,186536922,8683081728,19456
GEMM(3;4;1),0,240,225046081,10290867200,18432
GEMM(4;4;1),0,240,226979654,10653300736,18432
GEMM(5;4;1),0,240,233816080,10715475968,18432
GEMM(6;4;1),0,240,229681161,10695996416,18227
GEMM(7;4;1),0,240,226424657,10778850304,18432
TRSM_L(2;4),0,240,113075031,5122916352,61027637862
GEMM(3;4;2),0,240,229746908,10733292544,19046
GEMM(4;4;2),0,240,254594049,11661316096,18432
GEMM(5;4;2),0,240,245378332,11390628864,18432
GEMM(6;4;2),0,240,252495428,11773250560,18432
GEMM(7;4;2),0,240,242477498,11405574144,18432
TRSM_L(3;4),0,240,97048949,4222457856,16234000794
GEMM(4;4;3),0,240,250513474,11684574208,19251
GEMM(5;4;3),0,240,237198364,11215084544,18637
GEMM(6;4;3),0,240,250068686,11454370816,18227
GEMM(7;4;3),0,240,239436076,11259176960,18637
GETRF(4),0,240,20091744,921315328,0
TRSM_R(5;4),0,240,32018049,1477028864,0
TRSM_R(6;4),0,240,31910684,1477019648,0
TRSM_R(7;4),0,240,31895694,1477023744,0
GETRF(0),0,240,20581654,921293824,0
TRSM_R(1;0),0,240,31870927,1477041152,0
TRSM_R(2;0),0,240,31922818,1477036032,0
TRSM_R(3;0),0,240,31917661,1477040128,0
TRSM_R(4;0),0,240,31948424,1477019648,0
TRSM_L(0;4),0,240,30045032,1376748544,0
TRSM_R(5;0),0,240,31928863,1477045248,0
TRSM_R(6;0),0,240,32032228,1477035008,0
TRSM_R(7;0),0,240,32118614,1477042176,0
GEMM(1;4;0),0,240,58743855,2727641088,0
GEMM(2;4;0),0,240,58964564,2727620608,0
GEMM(3;4;0),0,240,58955227,2727631872,0
GEMM(4;4;0),0,240,58975485,2727615488,0
GEMM(5;4;0),0,240,58990149,2727651328,0
GEMM(6;4;0),0,240,58993428,2727612416,0
GEMM(7;4;0),0,240,58944606,2727628800,0
TRSM_L(1;4),0,240,102840989,4689987584,121979364966
GEMM(2;4;1),0,240,175612625,8073413632,19456
GEMM(3;4;1),0,240,214469056,10095164416,18432
GEMM(4;4;1),0,240,222971757,10180919296,18432
GEMM(5;4;1),0,240,215972472,10101069824,18432
GEMM(6;4;1),0,240,212639532,10003858432,18227
GEMM(7;4;1),0,240,222375251,10328116224,18432
TRSM_L(2;4),0,240,105933651,4785644544,61027637862
GEMM(3;4;2),0,240,230797559,10537757696,19046
GEMM(4;4;2),0,240,239332387,11263214592,18432
GEMM(5;4;2),0,240,246177912,11426538496,18432
GEMM(6;4;2),0,240,245771936,11255948288,18432
GEMM(7;4;2),0,240,243358387,11610086400,18432
TRSM_L(3;4),0,240,100870530,4426388480,16234000794
GEMM(4;4;3),0,240,251635474,11683639296,19251
GEMM(5;4;3),0,240,246239852,11497747456,18637
GEMM(6;4;3),0,240,247052093,11351187456,18227
GEMM(7;4;3),0,240,240463786,11458755584,18637
GETRF(4),0,240,20846315,921290752,0
TRSM_R(5;4),0,240,31993405,1477046272,0
TRSM_R(6;4),0,240,31893548,1477023744,0
TRSM_R(7;4),0,240,31900334,1477020672,0
GETRF(0),0,240,20512085,921329664,0
TRSM_R(1;0),0,240,31933413,1477036032,0
TRSM_R(2;0),0,240,31916330,1477018624,0
TRSM_R(3;0),0,240,31923260,1477050368,0
TRSM_R(4;0),0,240,31664270,1477031936,0
TRSM_L(0;4),0,240,30280642,1376734208,0
TRSM_R(5;0),0,240,31937445,1477040128,0
TRSM_R(6;0),0,240,31983958,1477065728,0
TRSM_R(7;0),0,240,32041481,1477040128,0
GEMM(1;4;0),0,240,58743993,2727639040,0
GEMM(2;4;0),0,240,58859129,2727625728,0
GEMM(3;4;0),0,240,58975596,2727639040,0
GEMM(4;4;0),0,240,58972520,2727618560,0
GEMM(5;4;0),0,240,58944484,2727630848,0
GEMM(6;4;0),0,240,58965081,2727621632,0
GEMM(7;4;0),0,240,58954013,2727622656,0
TRSM_L(1;4),0,240,104080133,4769356800,121979364966
GEMM(2;4;1),0,240,203407069,9490483200,19456
GEMM(3;4;1),0,240,237082869,10750137344,18432
GEMM(4;4;1),0,240,232510810,10829401088,18432
GEMM(5;4;1),0,240,231966851,10716214272,18432
GEMM(6;4;1),0,240,234940180,10913668096,18227
GEMM(7;4;1),0,240,230453554,10992353280,18432
TRSM_L(2;4),0,240,101906847,4603033600,61027637862
GEMM(3;4;2),0,240,228538726,10473843712,19046
GEMM(4;4;2),0,240,247759351,11514263552,18432
GEMM(5;4;2),0,240,240790962,11131184128,18432
GEMM(6;4;2),0,240,253919269,11792876544,18432
GEMM(7;4;2),0,240,244535504,11604071424,18432
TRSM_L(3;4),0,240,102882307,4571052032,16234000794
GEMM(4;4;3),0,240,253873933,11818071040,19251
GEMM(5;4;3),0,240,242210949,11402593280,18637
GEMM(6;4;3),0,240,255756405,11601668096,18227
GEMM(7;4;3),0,240,236429393,11229884416,18637
GETRF(4),0,240,20345170,921284608,0
TRSM_R(5;4),0,240,32013780,1477046272,0
TRSM_R(6;4),0,240,31906307,1477021696,0
TRSM_R(7;4),0,240,31937825,1477021696,0
GETRF(0),0,240,20379666,921336832,0
TRSM_R(1;0),0,240,32017730,1477031936,0
TRSM_R(2;0),0,240,31902430,1477027840,0
TRSM_R(3;0),0,240,31915348,1477038080,0
TRSM_R(4;0),0,240,31910842,1477024768,0
TRSM_L(0;4),0,240,30068793,1376724992,0
TRSM_R(5;0),0,240,31974973,1477040128,0
TRSM_R(6;0),0,240,32042092,1477040128,0
TRSM_R(7;0),0,240,32043441,1477036032,0
GEMM(1;4;0),0,240,58720290,2727643136,0
GEMM(2;4;0),0,240,58168488,2727614464,0
GEMM(3;4;0),0,240,59696951,2727634944,0
GEMM(4;4;0),0,240,58959201,2727618560,0
GEMM(5;4;0),0,240,58969141,2727630848,0
GEMM(6;4;0),0,240,58981851,2727619584,0
GEMM(7;4;0),0,240,59020524,2727625728,0
TRSM_L(1;4),0,240,92177065,4242674688,121979364966
GEMM(2;4;1),0,240,183602251,8471309312,19456
GEMM(3;4;1),0,240,218527427,10136584192,18432
GEMM(4;4;1),0,240,218067306,9984123904,18432
GEMM(5;4;1),0,240,217240192,10092038144,18432
GEMM(6;4;1),0,240,218732215,10245610496,18227
GEMM(7;4;1),0,240,210489554,9914161152,18432
TRSM_L(2;4),0,240,103275821,4752674816,61027637862
GEMM(3;4;2),0,240,233086111,10585218048,19046
GEMM(4;4;2),0,240,231659403,10904853504,18432
GEMM(5;4;2),0,240,238790147,11057477632,18432
GEMM(6;4;2),0,240,232891066,10782047232,18432
GEMM(7;4;2),0,240,234015213,11042478080,18432
TRSM_L(3;4),0,240,99949830,4584605696,16234000794
GEMM(4;4;3),0,240,248388035,11434752000,19251
GEMM(5;4;3),0,240,250967632,11430190080,18637
GEMM(6;4;3),0,240,244753815,11523259392,18227
GEMM(7;4;3),0,240,238829895,11279660032,18637
GETRF(4),0,240,20305122,921304064,0
TRSM_R(5;4),0,240,31907894,1477042176,0
TRSM_R(6;4),0,240,31930689,1477017600,0
TRSM_R(7;4),0,240,31913612,1477029888,0
GETRF(0),0,240,20596757,921305088,0
TRSM_R(1;0),0,240,31891858,1477037056,0
TRSM_R(2;0),0,240,31900238,1477021696,0
TRSM_R(3;0),0,240,31918024,1477051392,0
TRSM_R(4;0),0,240,31922136,1477027840,0
TRSM_L(0;4),0,240,30068015,1376728064,0
TRSM_R(5;0),0,240,31653357,1477025792,0
TRSM_R(6;0),0,240,32348750,1477062656,0
TRSM_R(7;0),0,240,32071517,1477054464,0
GEMM(1;4;0),0,240,58704843,2727635968,0
GEMM(2;4;0),0,240,58888391,2727624704,0
GEMM(3;4;0),0,240,58937084,2727626752,0
GEMM(4;4;0),0,240,58955406,2727614464,0
GEMM(5;4;0),0,240,58987629,2727633920,0
GEMM(6;4;0),0,240,58916981,2727613440,0
GEMM(7;4;0),0,240,59021852,2727632896,0
TRSM_L(1;4),0,240,104750450,4839101440,121979364966
GEMM(2;4;1),0,240,180575724,8231830528,19456
GEMM(3;4;1),0,240,224143474,10410948608,18432
GEMM(4;4;1),0,240,216247647,10036722688,18432
GEMM(5;4;1),0,240,219256904,10107083776,18432
GEMM(6;4;1),0,240,215419489,10115005440,18227
GEMM(7;4;1),0,240,221051747,10368555008,18432
TRSM_L(2;4),0,240,111037131,5084194816,61027637862
GEMM(3;4;2),0,240,234314412,10683447296,19046
GEMM(4;4;2),0,240,232212526,11051121664,18432
GEMM(5;4;2),0,240,239435211,11087804416,18432
GEMM(6;4;2),0,240,244119425,11341133824,18432
GEMM(7;4;2),0,240,236604818,11018129408,18432
TRSM_L(3;4),0,240,93032271,4099646464,16234000794
GEMM(4;4;3),0,240,243196788,11254772736,19251
GEMM(5;4;3),0,240,246789838,11491615744,18637
GEMM(6;4;3),0,240,240471572,11296733184,18227
GEMM(7;4;3),0,240,239511853,11167993856,18637
GETRF(4),0,240,20238355,921278464,0
TRSM_R(5;4),0,240,31935779,1477047296,0
TRSM_R(6;4),0,240,31907078,1477019648,0
TRSM_R(7;4),0,240,31915380,1477017600,0
GETRF(0),0,315,16093585,701970432,0
TRSM_R(1;0),0,315,24809126,1125388288,0
TRSM_R(2;0),0,315,24796765,1125387264,0
TRSM_R(3;0),0,315,24777724,1125371904,0
TRSM_R(4;0),0,315,24801345,1125390336,0
TRSM_L(0;4),0,315,23436508,1048972288,0
TRSM_R(5;0),0,315,24785514,1125396480,0
TRSM_R(6;0),0,315,24797697,1125402624,0
TRSM_R(7;0),0,315,24837680,1125399552,0
GEMM(1;4;0),0,315,45690512,2078201856,0
GEMM(2;4;0),0,315,45731849,2078192640,0
GEMM(3;4;0),0,315,45741081,2078194688,0
GEMM(4;4;0),0,315,45820550,2078179328,0
GEMM(5;4;0),0,315,45793234,2078203904,0
GEMM(6;4;0),0,315,45750028,2078180352,0
GEMM(7;4;0),0,315,45735652,2078194688,0
TRSM_L(1;4),0,315,99506857,4465793024,124927005082
GEMM(2;4;1),0,315,181607816,8486717440,15360
GEMM(3;4;1),0,315,224197888,9951201280,14746
GEMM(4;4;1),0,315,214576034,10030446592,14746
GEMM(5;4;1),0,315,212327306,9978292224,14541
GEMM(6;4;1),0,315,233654702,10521730048,14746
GEMM(7;4;1),0,315,226545557,10651340800,14950
TRSM_L(2;4),0,315,83198469,3711117312,62693724365
GEMM(3;4;2),0,315,232174066,10522419200,15360
GEMM(4;4;2),0,315,238248678,11047553024,14746
GEMM(5;4;2),0,315,235337421,10886119424,14746
GEMM(6;4;2),0,315,242142981,11158082560,14950
GEMM(7;4;2),0,315,238072263,11061587968,14746
TRSM_L(3;4),0,315,103467207,4472664064,12372476928
GEMM(4;4;3),0,315,252580829,11872250880,15155
GEMM(5;4;3),0,315,246173267,11184487424,14746
GEMM(6;4;3),0,315,243233816,11370337280,14950
GEMM(7;4;3),0,315,223921562,10342457344,14336
GETRF(4),0,315,16266661,701967360,0
TRSM_R(5;4),0,315,24679324,1125391360,0
TRSM_R(6;4),0,315,24764260,1125388288,0
TRSM_R(7;4),0,315,24766465,1125381120,0
GETRF(0),0,315,15961036,701962240,0
TRSM_R(1;0),0,315,24861614,1125393408,0
TRSM_R(2;0),0,315,24745665,1125398528,0
TRSM_R(3;0),0,315,24753442,1125395456,0
TRSM_R(4;0),0,315,24786159,1125400576,0
TRSM_L(0;4),0,315,23431689,1048947712,0
TRSM_R(5;0),0,315,24766544,1125409792,0
TRSM_R(6;0),0,315,24776206,1125405696,0
TRSM_R(7;0),0,315,24886052,1125414912,0
GEMM(1;4;0),0,315,45670247,2078212096,0
GEMM(2;4;0),0,315,45701632,2078187520,0
GEMM(3;4;0),0,315,45744962,2078198784,0
GEMM(4;4;0),0,315,45814842,2078180352,0
GEMM(5;4;0),0,315,45766434,2078197760,0
GEMM(6;4;0),0,315,45182756,2078187520,0
GEMM(7;4;0),0,315,46214084,2078198784,0
TRSM_L(1;4),0,315,92346905,4206209024,124927005082
GEMM(2;4;1),0,315,196132954,8962784256,15360
GEMM(3;4;1),0,315,225681487,10356555776,14746
GEMM(4;4;1),0,315,224814939,10297536512,14746
GEMM(5;4;1),0,315,232841152,10640099328,14541
GEMM(6;4;1),0,315,224116720,10508277760,14746
GEMM(7;4;1),0,315,227144204,10491686912,14950
TRSM_L(2;4),0,315,96027206,4351009792,62693724365
GEMM(3;4;2),0,315,232466718,10738879488,15360
GEMM(4;4;2),0,315,228473017,10403320832,14746
GEMM(5;4;2),0,315,232850456,10693302272,14746
GEMM(6;4;2),0,315,237728694,10963016704,14950
GEMM(7;4;2),0,315,240808096,11221394432,14746
TRSM_L(3;4),0,315,98320394,4390474752,12372476928
GEMM(4;4;3),0,315,232520592,10711891968,15155
GEMM(5;4;3),0,315,238153566,11024367616,14746
GEMM(6;4;3),0,315,241694849,11103771648,14950
GEMM(7;4;3),0,315,220547333,10169061376,14336
GETRF(4),0,315,15525992,701977600,0
TRSM_R(5;4),0,315,24771593,1125397504,0
TRSM_R(6;4),0,315,24777175,1125377024,0
TRSM_R(7;4),0,315,24741046,1125399552,0
GETRF(0),0,315,15970945,701962240,0
TRSM_R(1;0),0,315,24851596,1125391360,0
TRSM_R(2;0),0,315,24766960,1125391360,0
TRSM_R(3;0),0,315,24775062,1125383168,0
TRSM_R(4;0),0,315,24777503,1125378048,0
TRSM_L(0;4),0,315,23403618,1048951808,0
TRSM_R(5;0),0,315,24766250,1125406720,0
TRSM_R(6;0),0,315,24756901,1125412864,0
TRSM_R(7;0),0,315,24924431,1125403648,0
GEMM(1;4;0),0,315,45645134,2078199808,0
GEMM(2;4;0),0,315,45741575,2078191616,0
GEMM(3;4;0),0,315,45728437,2078194688,0
GEMM(4;4;0),0,315,45763986,2078187520,0
GEMM(5;4;0),0,315,45754479,2078210048,0
GEMM(6;4;0),0,315,45752457,2078200832,0
GEMM(7;4;0),0,315,45748969,2078190592,0
TRSM_L(1;4),0,315,103730145,4773683200,124927005082
