pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,0,GETRF(0),1777844079683396864,1777844079818580224,0
0,0,1,TRSM_R(1,0),1777844079686622464,1777844079944401152,0
0,0,3,TRSM_R(2,0),1777844079686622464,1777844079944359168,0
0,0,5,TRSM_R(3,0),1777844079686622464,1777844079944322304,0
0,0,7,TRSM_R(4,0),1777844079686622464,1777844079944443136,0
0,0,8,TRSM_L(0,4),1777844079686622464,1777844079931320576,0
0,0,9,TRSM_R(5,0),1777844079686622464,1777844079944443136,0
0,0,11,TRSM_R(6,0),1777844079686622464,1777844079944444160,0
0,0,13,TRSM_R(7,0),1777844079686622464,1777844079944444160,0
0,0,15,TRSM_R(8,0),1777844079686623488,1777844079944444160,0
0,0,16,TRSM_L(0,8),1777844079686623488,1777844079931320576,0
0,0,17,TRSM_R(9,0),1777844079686623488,1777844079953635584,0
0,0,19,TRSM_R(10,0),1777844079686623488,1777844079944444160,0
0,0,21,TRSM_R(11,0),1777844079686623488,1777844079953636608,0
0,0,23,TRSM_R(12,0),1777844079686623488,1777844079953958144,0
0,0,24,TRSM_L(0,12),1777844079686623488,1777844079931320576,0
0,0,25,TRSM_R(13,0),1777844079686623488,1777844079944538368,0
0,0,27,TRSM_R(14,0),1777844079686623488,1777844079953958144,0
0,0,29,TRSM_R(15,0),1777844079686624512,1777844080143718656,0
0,0,34,GEMM(1,4,0),1777844079686624512,1777844079818682624,0
0,0,38,GEMM(1,8,0),1777844079686624512,1777844079818719488,0
0,0,42,GEMM(1,12,0),1777844079686624512,1777844079818719488,0
0,0,49,GEMM(2,4,0),1777844079686624512,1777844079818719488,0
0,0,53,GEMM(2,8,0),1777844079686624512,1777844079818719488,0
0,0,57,GEMM(2,12,0),1777844079686624512,1777844079818719488,0
0,0,64,GEMM(3,4,0),1777844079686624512,1777844079818720512,0
0,0,68,GEMM(3,8,0),1777844079686625536,1777844079818720512,0
0,0,72,GEMM(3,12,0),1777844079686625536,1777844079818720512,0
0,0,79,GEMM(4,4,0),1777844079686625536,1777844079818720512,0
0,0,83,GEMM(4,8,0),1777844079686625536,1777844079818720512,0
0,0,87,GEMM(4,12,0),1777844079686625536,1777844079819587840,0
0,0,94,GEMM(5,4,0),1777844079686625536,1777844079818720512,0
0,0,98,GEMM(5,8,0),1777844079820180736,1777844079832684800,0
0,0,102,GEMM(5,12,0),1777844079953635584,1777844080094262528,0
0,0,109,GEMM(6,4,0),1777844079953957120,1777844080113867008,0
0,0,113,GEMM(6,8,0),1777844079953634560,1777844080094261504,0
0,0,117,GEMM(6,12,0),1777844079953635584,1777844080094261504,0
0,0,124,GEMM(7,4,0),1777844079932731648,1777844079944401152,0
0,0,128,GEMM(7,8,0),1777844079953957120,1777844080113867008,0
0,0,132,GEMM(7,12,0),1777844079953635584,1777844080094262528,0
0,0,139,GEMM(8,4,0),1777844079944533248,1777844080094261504,0
0,0,143,GEMM(8,8,0),1777844079953635584,1777844080094262528,0
0,0,147,GEMM(8,12,0),1777844079953957120,1777844080143718656,0
0,0,154,GEMM(9,4,0),1777844080094261504,1777844080224029952,0
0,0,158,GEMM(9,8,0),1777844079953635584,1777844080094261504,0
0,0,162,GEMM(9,12,0),1777844080113864960,1777844080224032000,0
0,0,169,GEMM(10,4,0),1777844080113867008,1777844080224032000,0
0,0,173,GEMM(10,8,0),1777844079953635584,1777844080113865984,0
0,0,177,GEMM(10,12,0),1777844080043691264,1777844080143718656,0
0,0,184,GEMM(11,4,0),1777844080113867008,1777844080233958656,0
0,0,188,GEMM(11,8,0),1777844080224111872,1777844080243757312,0
0,0,192,GEMM(11,12,0),1777844080094261504,1777844080224029952,0
0,0,199,GEMM(12,4,0),1777844079953635584,1777844080094262528,0
0,0,203,GEMM(12,8,0),1777844080113865984,1777844080224032000,0
0,0,207,GEMM(12,12,0),1777844080113867008,1777844080224032000,0
0,0,214,GEMM(13,4,0),1777844079953956096,1777844080113865984,0
0,0,218,GEMM(13,8,0),1777844080043692288,1777844080224029952,0
0,0,222,GEMM(13,12,0),1777844080113867008,1777844080224033024,0
0,0,229,GEMM(14,4,0),1777844080233957632,1777844080244878592,0
0,0,233,GEMM(14,8,0),1777844080094261504,1777844080224032000,0
0,0,237,GEMM(14,12,0),1777844079953635584,1777844080094262528,0
0,0,244,GEMM(15,4,0),1777844080113864960,1777844080224032000,0
0,0,248,GEMM(15,8,0),1777844080113867008,1777844080224032000,0
0,0,252,GEMM(15,12,0),1777844079953957120,1777844080113865984,0
0,0,262,TRSM_L(1,4),1777844093196336384,1777844101565047040,1777844080043692288
0,0,270,TRSM_L(1,8),1777844093196336384,1777844103365855488,1777844080143717632
0,0,278,TRSM_L(1,12),1777844093196335360,1777844101564960000,1777844080233957632
0,0,287,GEMM(2,4,1),1777844094583847168,1777844099353136384,1777844080143716608
0,0,291,GEMM(2,8,1),1777844094583846144,1777844099353705728,1777844080143716608
0,0,295,GEMM(2,12,1),1777844094583847168,1777844099353136384,1777844080113865984
0,0,301,GEMM(3,4,1),1777844094584008960,1777844099353137408,1777844080224028928
0,0,305,GEMM(3,8,1),1777844094584155392,1777844099353137408,1777844080143716608
0,0,309,GEMM(3,12,1),1777844094583847168,1777844099353137408,1777844080143717632
0,0,315,GEMM(4,4,1),1777844094596349184,1777844099353138432,1777844080143717632
0,0,319,GEMM(4,8,1),1777844094596272384,1777844099353137408,1777844080233957632
0,0,323,GEMM(4,12,1),1777844094596276480,1777844099353138432,1777844080224056576
0,0,329,GEMM(5,4,1),1777844094583862528,1777844099353755904,1777844080143716608
0,0,333,GEMM(5,8,1),1777844094583847168,1777844099353136384,1777844080224099584
0,0,337,GEMM(5,12,1),1777844094583848192,1777844099353137408,1777844080224089344
0,0,343,GEMM(6,4,1),1777844093253348608,1777844094579588352,1777844080224028928
0,0,347,GEMM(6,8,1),1777844093253418240,1777844094579879168,1777844080224030976
0,0,351,GEMM(6,12,1),1777844093253387520,1777844094579587328,1777844080243756288
0,0,357,GEMM(7,4,1),1777844094583847168,1777844099353136384,1777844080243773696
0,0,361,GEMM(7,8,1),1777844094583846144,1777844099353136384,1777844080224056576
0,0,365,GEMM(7,12,1),1777844094584115456,1777844099353137408,1777844080143716608
0,0,371,GEMM(8,4,1),1777844094596290816,1777844099369339136,1777844080224099584
0,0,375,GEMM(8,8,1),1777844094596272384,1777844099353138432,1777844080224089344
0,0,379,GEMM(8,12,1),1777844094596272384,1777844099353138432,1777844080224028928
0,0,385,GEMM(9,4,1),1777844094583847168,1777844099353137408,1777844080224067840
0,0,389,GEMM(9,8,1),1777844094583848192,1777844099353757952,1777844080243757312
