pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
1,0,2,TRSM_L(0,1),1777844079819206400,1777844089816607488,1777844079682498304
1,0,10,TRSM_L(0,5),1777844079819207424,1777844089606226688,1777844079682506496
1,0,18,TRSM_L(0,9),1777844079819207424,1777844089604350720,1777844079682512640
1,0,26,TRSM_L(0,13),1777844079819207424,1777844090175459072,1777844079682518784
1,0,31,GEMM(1,1,0),1777844079969174272,1777844086194611968,1777844079682522880
1,0,35,GEMM(1,5,0),1777844079969328896,1777844086194600704,1777844079682528000
1,0,39,GEMM(1,9,0),1777844079969172224,1777844086194601728,1777844079682532096
1,0,43,GEMM(1,13,0),1777844079969173248,1777844086194611968,1777844079682542336
1,0,46,GEMM(2,1,0),1777844079969172224,1777844086194601728,1777844079682546432
1,0,50,GEMM(2,5,0),1777844079969172224,1777844086194601728,1777844079682550528
1,0,54,GEMM(2,9,0),1777844079969173248,1777844086194691840,1777844079682554624
1,0,58,GEMM(2,13,0),1777844079969173248,1777844086194601728,1777844079682558720
1,0,61,GEMM(3,1,0),1777844079969174272,1777844086194611968,1777844079682562816
1,0,65,GEMM(3,5,0),1777844079969271552,1777844086194601728,1777844079682566912
1,0,69,GEMM(3,9,0),1777844079969173248,1777844086194601728,1777844079682573056
1,0,73,GEMM(3,13,0),1777844079969172224,1777844086194612992,1777844079682577152
1,0,76,GEMM(4,1,0),1777844079969305344,1777844086194603776,1777844079682582272
1,0,80,GEMM(4,5,0),1777844079969175296,1777844086194602752,1777844079682585344
1,0,84,GEMM(4,9,0),1777844079969416960,1777844086452004608,1777844079682590464
1,0,88,GEMM(4,13,0),1777844079969174272,1777844086194601728,1777844079682596608
1,0,91,GEMM(5,1,0),1777844079969173248,1777844086194601728,1777844079682599680
1,0,95,GEMM(5,5,0),1777844079969172224,1777844086194731776,1777844079682605824
1,0,99,GEMM(5,9,0),1777844079969416960,1777844086194642688,1777844079682610944
1,0,103,GEMM(5,13,0),1777844079969174272,1777844086194602752,1777844079682615040
1,0,106,GEMM(6,1,0),1777844079969173248,1777844086194603776,1777844079682621184
1,0,110,GEMM(6,5,0),1777844079969172224,1777844086194603776,1777844079682625280
1,0,114,GEMM(6,9,0),1777844079969174272,1777844086194602752,1777844079682631424
1,0,118,GEMM(6,13,0),1777844079969174272,1777844086194602752,1777844079682635520
1,0,121,GEMM(7,1,0),1777844079969174272,1777844086194602752,1777844079682640640
1,0,125,GEMM(7,5,0),1777844079969173248,1777844086194603776,1777844079682645760
1,0,129,GEMM(7,9,0),1777844079969173248,1777844086194611968,1777844079682649856
1,0,133,GEMM(7,13,0),1777844079969173248,1777844086194603776,1777844079682653952
1,0,136,GEMM(8,1,0),1777844091594099456,1777844093143945984,1777844090708298496
1,0,140,GEMM(8,5,0),1777844090715164416,1777844091593471744,1777844089607169792
1,0,144,GEMM(8,9,0),1777844089607727872,1777844090715469568,1777844089604914944
1,0,148,GEMM(8,13,0),1777844091594099456,1777844093144273664,1777844090715164416
1,0,151,GEMM(9,1,0),1777844086495476480,1777844089167980288,1777844086195932928
1,0,155,GEMM(9,5,0),1777844086195931904,1777844086495474432,1777844086195015424
1,0,159,GEMM(9,9,0),1777844086495624960,1777844089167979264,1777844086195932928
1,0,163,GEMM(9,13,0),1777844086495475456,1777844089202161408,1777844086195931904
1,0,166,GEMM(10,1,0),1777844091594099456,1777844093143945984,1777844090708298496
1,0,170,GEMM(10,5,0),1777844090715164416,1777844091594098432,1777844089607169792
1,0,174,GEMM(10,9,0),1777844089608348416,1777844090724422400,1777844089604976384
1,0,178,GEMM(10,13,0),1777844091595338496,1777844093144318720,1777844090715164416
1,0,181,GEMM(11,1,0),1777844086495476480,1777844089167980288,1777844086195932928
1,0,185,GEMM(11,5,0),1777844086495475456,1777844089167980288,1777844086195932928
1,0,189,GEMM(11,9,0),1777844086495566592,1777844089167979264,1777844086195932928
1,0,193,GEMM(11,13,0),1777844086495476480,1777844089167980288,1777844086195931904
1,0,196,GEMM(12,1,0),1777844091594099456,1777844093143945984,1777844090708299520
1,0,200,GEMM(12,5,0),1777844090718533376,1777844091594099456,1777844089607726848
1,0,204,GEMM(12,9,0),1777844089814391552,1777844091593471744,1777844089605545728
1,0,208,GEMM(12,13,0),1777844091595338496,1777844093153399552,1777844090715164416
1,0,211,GEMM(13,1,0),1777844086495475456,1777844089167980288,1777844086195933952
