pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,0,POTRF(0,0),1777300122001423557,1777300122172343493,0
0,0,4,TRSM(4,0),1777300122172352709,1777300122619371717,1777300122172348613
0,0,8,TRSM(8,0),1777300122172353733,1777300122546780357,1777300122172349637
0,0,12,TRSM(12,0),1777300122172353733,1777300122544976069,1777300122172349637
0,0,16,SYRK(1,1,0),1777300122723961029,1777300126037624005,1777300122002622661
0,0,32,GEMM(3,2,0),1777300123268302021,1777300127737936069,1777300122002622661
0,0,20,GEMM(5,1,0),1777300122726261957,1777300126049689797,1777300122002622661
0,0,48,GEMM(6,3,0),1777300123385119941,1777300127804951749,1777300122002623685
0,0,60,GEMM(6,4,0),1777300123385119941,1777300127804951749,1777300122626026693
0,0,36,GEMM(7,2,0),1777300123268302021,1777300127737936069,1777300122002623685
0,0,72,GEMM(7,5,0),1777300123231239365,1777300127709618373,1777300122002623685
0,0,92,GEMM(8,7,0),1777300123231239365,1777300127709618373,1777300122546784453
0,0,100,SYRK(8,8,0),1777300122546788549,1777300123237521605,1777300122546784453
0,0,24,GEMM(9,1,0),1777300122726260933,1777300126037624005,1777300122002623685
0,0,84,GEMM(9,6,0),1777300123385119941,1777300127804951749,1777300122002623685
0,0,108,SYRK(9,9,0),1777300122726260933,1777300126049689797,1777300122002623685
0,0,52,GEMM(10,3,0),1777300123560877253,1777300127828722885,1777300122002623685
0,0,64,GEMM(10,4,0),1777300123560877253,1777300127828720837,1777300122626026693
0,0,40,GEMM(11,2,0),1777300123268302021,1777300127737936069,1777300122002623685
0,0,76,GEMM(11,5,0),1777300123075778757,1777300127321828549,1777300122002623685
0,0,116,GEMM(11,10,0),1777300123560877253,1777300127828720837,1777300122002624709
0,0,96,GEMM(12,7,0),1777300123231239365,1777300127709618373,1777300122544980165
0,0,104,GEMM(12,8,0),1777300122546791621,1777300123262018757,1777300122546787525
0,0,28,GEMM(13,1,0),1777300122723962053,1777300126025281733,1777300122002624709
0,0,88,GEMM(13,6,0),1777300123385119941,1777300127804951749,1777300122002624709
0,0,112,GEMM(13,9,0),1777300122726260933,1777300126049689797,1777300122002624709
0,0,56,GEMM(14,3,0),1777300123167283397,1777300127563476165,1777300122002624709
0,0,68,GEMM(14,4,0),1777300123167283397,1777300127563476165,1777300122626026693
0,0,124,GEMM(14,11,0),1777300123167283397,1777300127563476165,1777300122002624709
0,0,128,GEMM(14,12,0),1777300123167283397,1777300127563476165,1777300122544980165
0,0,44,GEMM(15,2,0),1777300123319686341,1777300127788724421,1777300122002624709
0,0,80,GEMM(15,5,0),1777300123319687365,1777300127788724421,1777300122002624709
0,0,120,GEMM(15,10,0),1777300123560877253,1777300127828723909,1777300122002625733
0,0,132,GEMM(15,13,0),1777300123319687365,1777300127788724421,1777300122002625733
0,0,136,POTRF(1,1),1777300126378990789,1777300127958905029,1777300126208269509
0,0,140,TRSM(5,1),1777300127958916293,1777300128546303173,1777300127958911173
0,0,144,TRSM(9,1),1777300127958917317,1777300128469821637,1777300127958911173
0,0,148,TRSM(13,1),1777300127958916293,1777300128708632773,1777300127958911173
0,0,152,GEMM(3,2,1),1777300129255573701,1777300134277754053,1777300127792870597
0,0,168,GEMM(6,3,1),1777300129586437317,1777300134371876037,1777300127827267781
0,0,180,GEMM(6,4,1),1777300129586437317,1777300134371873989,1777300127827267781
0,0,156,GEMM(7,2,1),1777300129255574725,1777300134277754053,1777300127792870597
0,0,192,GEMM(7,5,1),1777300128757818565,1777300133271507141,1777300128568344773
0,0,212,GEMM(8,7,1),1777300128757818565,1777300133271507141,1777300127780605125
0,0,220,SYRK(8,8,1),1777300128469819589,1777300129782936773,1777300123313402053
0,0,204,GEMM(9,6,1),1777300129586437317,1777300134371873989,1777300128472898757
0,0,228,SYRK(9,9,1),1777300128472903877,1777300129814016197,1777300128472898757
0,0,172,GEMM(10,3,1),1777300129399142597,1777300134341966021,1777300127828730053
0,0,184,GEMM(10,4,1),1777300129399142597,1777300134341966021,1777300127828726981
0,0,160,GEMM(11,2,1),1777300129255574725,1777300134277754053,1777300127792870597
0,0,196,GEMM(11,5,1),1777300128763048133,1777300133338777797,1777300128568344773
0,0,236,GEMM(11,10,1),1777300129399142597,1777300134341966021,1777300127828726981
0,0,216,GEMM(12,7,1),1777300128757818565,1777300133271507141,1777300127780605125
0,0,224,GEMM(12,8,1),1777300128484220101,1777300130273544389,1777300123335920837
0,0,208,GEMM(13,6,1),1777300129586437317,1777300134371876037,1777300128730529989
0,0,232,GEMM(13,9,1),1777300128744188101,1777300133176246469,1777300128730529989
0,0,176,GEMM(14,3,1),1777300129242467525,1777300134241585349,1777300127683176645
0,0,188,GEMM(14,4,1),1777300129242467525,1777300134241585349,1777300127683176645
0,0,244,GEMM(14,11,1),1777300129242468549,1777300134241585349,1777300127683176645
0,0,248,GEMM(14,12,1),1777300129242467525,1777300134257083589,1777300127683176645
0,0,164,GEMM(15,2,1),1777300129255573701,1777300134277754053,1777300127815002309
0,0,200,GEMM(15,5,1),1777300128770944197,1777300133354242245,1777300128568343749
0,0,240,GEMM(15,10,1),1777300129399142597,1777300134341966021,1777300127828730053
0,0,252,GEMM(15,13,1),1777300128770944197,1777300133354242245,1777300128730529989
0,0,256,POTRF(2,2),1777300129399142597,1777300134446756037,1777300122002625733
0,0,260,TRSM(6,2),1777300134446765253,1777300137273839813,1777300134446760133
0,0,264,TRSM(10,2),1777300134446765253,1777300138024760517,1777300134446761157
0,0,268,TRSM(14,2),1777300134446765253,1777300137541513413,1777300134446761157
0,0,272,GEMM(5,3,2),1777300135070111941,1777300136717410501,1777300122544614597
0,0,284,GEMM(5,4,2),1777300134972386501,1777300135934631109,1777300127956394181
0,0,296,GEMM(6,5,2),1777300137295965381,1777300139357344965,1777300137284932805
0,0,316,SYRK(7,7,2),1777300135091560645,1777300136827480261,1777300128524305605
0,0,308,GEMM(8,6,2),1777300137295965381,1777300139375670469,1777300137284931781
0,0,276,GEMM(9,3,2),1777300135177797829,1777300136980078789,1777300128469172421
0,0,288,GEMM(9,4,2),1777300135177798853,1777300136996006085,1777300128687294661
0,0,300,GEMM(10,5,2),1777300138196006085,1777300140081316037,1777300138105238725
0,0,340,SYRK(10,10,2),1777300138196006085,1777300140081316037,1777300138105238725
0,0,320,GEMM(11,7,2),1777300137258676421,1777300139163784389,1777300137258367173
0,0,328,GEMM(11,8,2),1777300137988561093,1777300140033855685,1777300137916427461
0,0,312,GEMM(12,6,2),1777300137295964357,1777300139362555077,1777300137284931781
0,0,336,GEMM(12,9,2),1777300137520493765,1777300139735099589,1777300137479302341
0,0,280,GEMM(13,3,2),1777300135532189893,1777300137234825413,1777300122544615621
0,0,292,GEMM(13,4,2),1777300135532189893,1777300137234589893,1777300127956394181
0,0,348,GEMM(13,11,2),1777300135532189893,1777300137234588869,1777300128524305605
