pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
1,0,1,TRSM(1,0),1777300122172351821,1777300122718618957,1777300122001387853
1,0,5,TRSM(5,0),1777300122172351821,1777300122723932493,1777300122001554765
1,0,9,TRSM(9,0),1777300122172351821,1777300122723548493,1777300122001689933
1,0,13,TRSM(13,0),1777300122172352845,1777300122715821389,1777300122001832269
1,0,17,GEMM(2,1,0),1777300123235687757,1777300124578863437,1777300122718623053
1,0,45,SYRK(3,3,0),1777300122809672013,1777300122956209485,1777300122001981773
1,0,33,GEMM(4,2,0),1777300123235687757,1777300124597339469,1777300122001995085
1,0,21,GEMM(6,1,0),1777300123352443213,1777300124767180109,1777300122718624077
1,0,81,SYRK(6,6,0),1777300123352443213,1777300124783445325,1777300122002020685
1,0,49,GEMM(7,3,0),1777300123210903885,1777300124488726861,1777300122723931469
1,0,61,GEMM(7,4,0),1777300123210902861,1777300124601451853,1777300122723547469
1,0,37,GEMM(8,2,0),1777300123235687757,1777300124783445325,1777300122715819341
1,0,73,GEMM(8,5,0),1777300122723941709,1777300125978862925,1777300122723937613
1,0,93,GEMM(9,7,0),1777300123210903885,1777300124498929997,1777300122723552589
1,0,101,GEMM(9,8,0),1777300122723557709,1777300125990974797,1777300122723553613
1,0,25,GEMM(10,1,0),1777300123516777805,1777300126157005133,1777300122718624077
1,0,85,GEMM(10,6,0),1777300124803816781,1777300126277041485,1777300124763044173
1,0,109,GEMM(10,9,0),1777300123516777805,1777300125864918349,1777300122723553613
1,0,53,GEMM(11,3,0),1777300124623977805,1777300126107513165,1777300124578863437
1,0,65,GEMM(11,4,0),1777300124803816781,1777300126274731341,1777300124763044173
1,0,121,SYRK(11,11,0),1777300125999159629,1777300127314161997,1777300125954338125
1,0,41,GEMM(12,2,0),1777300124521699661,1777300126007201101,1777300124476414285
1,0,77,GEMM(12,5,0),1777300122723940685,1777300127219426637,1777300122723937613
1,0,117,GEMM(12,10,0),1777300126177759565,1777300127476862285,1777300126136322381
1,0,97,GEMM(13,7,0),1777300123210904909,1777300127481037133,1777300122715826509
1,0,105,GEMM(13,8,0),1777300122715829581,1777300127116224845,1777300122715826509
1,0,29,GEMM(14,1,0),1777300123137985869,1777300127334502733,1777300122718624077
1,0,89,GEMM(14,6,0),1777300126295523661,1777300127562207565,1777300126252158285
1,0,113,GEMM(14,9,0),1777300123137985869,1777300128212662605,1777300122723553613
1,0,133,SYRK(14,14,0),1777300126027574605,1777300127342783821,1777300125986883917
