pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
2,0,31,SYRK(2;2;0),1777469923724676342,1777470060748083446,1777469923344482550
2,0,32,GEMM(3;2;0),1777469926327124214,1777470060751474934,1777469923344488694
2,0,33,GEMM(4;2;0),1777469926328411382,1777470060751794422,1777469923344494838
2,0,34,GEMM(5;2;0),1777469926327183606,1777470060749342966,1777469923344499958
2,0,35,GEMM(6;2;0),1777469926327124214,1777470060750562550,1777469923344504054
2,0,81,SYRK(6;6;0),1777469926327124214,1777470060750604534,1777469923344509174
2,0,36,GEMM(7;2;0),1777469926327124214,1777470060750823670,1777469923344513270
2,0,82,GEMM(7;6;0),1777469926328411382,1777470060813565174,1777469923344517366
2,0,37,GEMM(8;2;0),1777469926328404214,1777470060751654134,1777469923344522486
2,0,83,GEMM(8;6;0),1777469926327124214,1777470060750385398,1777469923344526582
2,0,38,GEMM(9;2;0),1777469926327125238,1777470060750562550,1777469923344530678
2,0,84,GEMM(9;6;0),1777469926327124214,1777470060750828790,1777469923344535798
2,0,39,GEMM(10;2;0),1777469926327125238,1777470060750857462,1777469923344540918
2,0,85,GEMM(10;6;0),1777469926327125238,1777470060750604534,1777469923344546038
2,0,115,SYRK(10;10;0),1777469926327125238,1777470060751437046,1777469923344551158
2,0,40,GEMM(11;2;0),1777469926327209206,1777470060750976246,1777469923344555254
2,0,86,GEMM(11;6;0),1777469926327125238,1777470060750604534,1777469923344559350
2,0,116,GEMM(11;10;0),1777469926327125238,1777470060751185142,1777469923344564470
2,0,41,GEMM(12;2;0),1777469926327125238,1777470060751033590,1777469923344570614
2,0,87,GEMM(12;6;0),1777469926327126262,1777470060751159542,1777469923344610550
2,0,117,GEMM(12;10;0),1777469926327126262,1777470060751827190,1777469923344615670
2,0,42,GEMM(13;2;0),1777469926327126262,1777470060751230198,1777469923344623862
2,0,88,GEMM(13;6;0),1777469926327126262,1777470060751359222,1777469923344627958
2,0,118,GEMM(13;10;0),1777469926327126262,1777470060751258870,1777469923344635126
2,0,43,GEMM(14;2;0),1777469926327166198,1777470060750872822,1777469923344641270
2,0,89,GEMM(14;6;0),1777469926327126262,1777470060751185142,1777469923344647414
2,0,119,GEMM(14;10;0),1777469926327127286,1777470060751638774,1777469923344652534
2,0,133,SYRK(14;14;0),1777469926327127286,1777470060751044854,1777469923344658678
2,0,44,GEMM(15;2;0),1777469926327126262,1777470060751896822,1777469923344662774
2,0,90,GEMM(15;6;0),1777469926327126262,1777470060751510774,1777469923344666870
2,0,120,GEMM(15;10;0),1777469926327183606,1777470060750724342,1777469923344671990
2,0,134,GEMM(15;14;0),1777469926327126262,1777470060751217910,1777469923344676086
2,0,151,SYRK(2;2;1),1777470062503775478,1777470087244573942,1777470060761392374
2,0,152,GEMM(3;2;1),1777470076129906934,1777470181531282678,1777470060763430134
2,0,153,GEMM(4;2;1),1777470062503777526,1777470087246910710,1777470060762701046
2,0,154,GEMM(5;2;1),1777470062503776502,1777470087244570870,1777470060759434486
