pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,0,POTRF(0),1777924342894778368,1777924343050191872,0
0,0,1,TRSM(1,0),1777924342897307648,1777924343150730240,0
0,0,2,TRSM(2,0),1777924342897307648,1777924343150857216,0
0,0,3,TRSM(3,0),1777924342897308672,1777924343150905344,0
0,0,4,TRSM(4,0),1777924342897308672,1777924343150760960,0
0,0,5,TRSM(5,0),1777924342897308672,1777924343150906368,0
0,0,6,TRSM(6,0),1777924342897308672,1777924343160641536,0
0,0,7,TRSM(7,0),1777924342897308672,1777924343151023104,0
0,0,8,TRSM(8,0),1777924342897308672,1777924343170309120,0
0,0,9,TRSM(9,0),1777924342897308672,1777924343160641536,0
0,0,10,TRSM(10,0),1777924342897308672,1777924343170309120,0
0,0,11,TRSM(11,0),1777924342897309696,1777924343170501632,0
0,0,12,TRSM(12,0),1777924342897309696,1777924343170501632,0
0,0,13,TRSM(13,0),1777924342897309696,1777924343170501632,0
0,0,14,TRSM(14,0),1777924342897309696,1777924343200360448,0
0,0,15,TRSM(15,0),1777924342897309696,1777924343180459008,0
0,0,31,SYRK(2,2,0),1777924342897309696,1777924343050267648,0
0,0,32,GEMM(3,2,0),1777924342897309696,1777924343050268672,0
0,0,33,GEMM(4,2,0),1777924342897309696,1777924343050268672,0
0,0,34,GEMM(5,2,0),1777924342897309696,1777924343050268672,0
0,0,35,GEMM(6,2,0),1777924342897310720,1777924343050268672,0
0,0,36,GEMM(7,2,0),1777924342897310720,1777924343050268672,0
0,0,37,GEMM(8,2,0),1777924342897310720,1777924343050268672,0
0,0,38,GEMM(9,2,0),1777924342897310720,1777924343050268672,0
0,0,39,GEMM(10,2,0),1777924342897310720,1777924343050268672,0
0,0,40,GEMM(11,2,0),1777924342897310720,1777924343050269696,0
0,0,41,GEMM(12,2,0),1777924342897310720,1777924343050269696,0
0,0,42,GEMM(13,2,0),1777924342897310720,1777924343050269696,0
0,0,43,GEMM(14,2,0),1777924342897310720,1777924343050269696,0
0,0,44,GEMM(15,2,0),1777924342897310720,1777924343050269696,0
0,0,58,SYRK(4,4,0),1777924342897311744,1777924343050269696,0
0,0,59,GEMM(5,4,0),1777924342897311744,1777924343051077632,0
0,0,60,GEMM(6,4,0),1777924343050760192,1777924343063045120,0
0,0,61,GEMM(7,4,0),1777924343150939136,1777924343180459008,0
0,0,62,GEMM(8,4,0),1777924343160640512,1777924343200361472,0
