pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,0,POTRF(0),1777924263540224256,1777924263545368832,0
0,0,1,TRSM(1,0),1777924263545370880,1777924263555253504,0
0,0,2,TRSM(2,0),1777924263555258624,1777924263565140224,0
0,0,3,TRSM(3,0),1777924263565147392,1777924263575035136,0
0,0,4,TRSM(4,0),1777924263575043328,1777924263584932096,0
0,0,5,TRSM(5,0),1777924263584939264,1777924263594831104,0
0,0,6,TRSM(6,0),1777924263594839296,1777924263604730112,0
0,0,7,TRSM(7,0),1777924263604737280,1777924263614627072,0
0,0,8,TRSM(8,0),1777924263614634240,1777924263624507648,0
0,0,9,TRSM(9,0),1777924263624514816,1777924263634405632,0
0,0,10,TRSM(10,0),1777924263634413824,1777924263644301568,0
0,0,11,TRSM(11,0),1777924263644307712,1777924263654194432,0
0,0,12,TRSM(12,0),1777924263654201600,1777924263664090368,0
0,0,13,TRSM(13,0),1777924263664097536,1777924263673988352,0
0,0,14,TRSM(14,0),1777924263673995520,1777924263683888384,0
0,0,15,TRSM(15,0),1777924263683895552,1777924263693782272,0
0,0,31,SYRK(2,2,0),1777924263693791488,1777924263699604736,0
0,0,32,GEMM(3,2,0),1777924263699607808,1777924263709779200,0
0,0,33,GEMM(4,2,0),1777924263709782272,1777924263719950592,0
0,0,34,GEMM(5,2,0),1777924263719953664,1777924263730121984,0
0,0,35,GEMM(6,2,0),1777924263730126080,1777924263740292352,0
0,0,36,GEMM(7,2,0),1777924263740296448,1777924263750463744,0
0,0,37,GEMM(8,2,0),1777924263750466816,1777924263760635136,0
0,0,38,GEMM(9,2,0),1777924263760639232,1777924263770809600,0
0,0,39,GEMM(10,2,0),1777924263770812672,1777924263780980992,0
0,0,40,GEMM(11,2,0),1777924263780984064,1777924263791153408,0
0,0,41,GEMM(12,2,0),1777924263791157504,1777924263801327872,0
0,0,42,GEMM(13,2,0),1777924263801330944,1777924263811503360,0
0,0,43,GEMM(14,2,0),1777924263811506432,1777924263821678848,0
0,0,44,GEMM(15,2,0),1777924263821681920,1777924263831851264,0
0,0,58,SYRK(4,4,0),1777924263831855360,1777924263837666560,0
0,0,59,GEMM(5,4,0),1777924263837670656,1777924263847840000,0
0,0,60,GEMM(6,4,0),1777924263847843072,1777924263858013440,0
0,0,61,GEMM(7,4,0),1777924263858016512,1777924263868187904,0
0,0,62,GEMM(8,4,0),1777924263868190976,1777924263878360320,0
0,0,63,GEMM(9,4,0),1777924263878363392,1777924263888530688,0
0,0,64,GEMM(10,4,0),1777924263888534784,1777924263898701056,0
0,0,65,GEMM(11,4,0),1777924263898704128,1777924263908871424,0
0,0,66,GEMM(12,4,0),1777924263908875520,1777924263919045888,0
0,0,67,GEMM(13,4,0),1777924263919048960,1777924263929218304,0
0,0,68,GEMM(14,4,0),1777924263929221376,1777924263939393792,0
0,0,69,GEMM(15,4,0),1777924263939396864,1777924263949565184,0
0,0,81,SYRK(6,6,0),1777924263949568256,1777924263955380480,0
0,0,82,GEMM(7,6,0),1777924263955383552,1777924263965553920,0
0,0,83,GEMM(8,6,0),1777924263965556992,1777924263975727360,0
0,0,84,GEMM(9,6,0),1777924263975731456,1777924263985900800,0
0,0,85,GEMM(10,6,0),1777924263985904896,1777924263996076288,0
0,0,86,GEMM(11,6,0),1777924263996079360,1777924264006249728,0
0,0,87,GEMM(12,6,0),1777924264006252800,1777924264016421120,0
0,0,88,GEMM(13,6,0),1777924264016425216,1777924264026594560,0
0,0,89,GEMM(14,6,0),1777924264026597632,1777924264036766976,0
0,0,90,GEMM(15,6,0),1777924264036771072,1777924264046941440,0
0,0,100,SYRK(8,8,0),1777924264046944512,1777924264052755712,0
0,0,101,GEMM(9,8,0),1777924264052758784,1777924264062926080,0
0,0,102,GEMM(10,8,0),1777924264062929152,1777924264073097472,0
0,0,103,GEMM(11,8,0),1777924264073100544,1777924264083271936,0
0,0,104,GEMM(12,8,0),1777924264083275008,1777924264093443328,0
0,0,105,GEMM(13,8,0),1777924264093447424,1777924264103616768,0
0,0,106,GEMM(14,8,0),1777924264103619840,1777924264113789184,0
0,0,107,GEMM(15,8,0),1777924264113793280,1777924264123960576,0
0,0,115,SYRK(10,10,0),1777924264123963648,1777924264129776896,0
0,0,116,GEMM(11,10,0),1777924264129779968,1777924264139947264,0
0,0,117,GEMM(12,10,0),1777924264139951360,1777924264150120704,0
0,0,118,GEMM(13,10,0),1777924264150123776,1777924264160293120,0
0,0,119,GEMM(14,10,0),1777924264160296192,1777924264170464512,0
0,0,120,GEMM(15,10,0),1777924264170468608,1777924264180636928,0
0,0,126,SYRK(12,12,0),1777924264180640000,1777924264186453248,0
0,0,127,GEMM(13,12,0),1777924264186455296,1777924264196625664,0
0,0,128,GEMM(14,12,0),1777924264196628736,1777924264206800128,0
0,0,129,GEMM(15,12,0),1777924264206804224,1777924264216973568,0
0,0,133,SYRK(14,14,0),1777924264216976640,1777924264222789888,0
0,0,134,GEMM(15,14,0),1777924264222792960,1777924264232963328,0
0,0,151,SYRK(2,2,1),1777924266038193408,1777924266058694912,1777924264232966400
0,0,152,GEMM(3,2,1),1777924266058702080,1777924266100130048,1777924266058697984
0,0,153,GEMM(4,2,1),1777924266100137216,1777924266139756800,1777924266100133120
0,0,154,GEMM(5,2,1),1777924266139763968,1777924266181737728,1777924266139759872
0,0,155,GEMM(6,2,1),1777924266181744896,1777924266222411008,1777924266181740800
0,0,156,GEMM(7,2,1),1777924266222418176,1777924266263407872,1777924266222415104
0,0,157,GEMM(8,2,1),1777924266263415040,1777924266302441728,1777924266263410944
0,0,158,GEMM(9,2,1),1777924266302449920,1777924266344240384,1777924266302445824
0,0,159,GEMM(10,2,1),1777924266344247552,1777924266384996608,1777924266344243456
0,0,160,GEMM(11,2,1),1777924266385002752,1777924266426338560,1777924266384999680
0,0,161,GEMM(12,2,1),1777924266426345728,1777924266465874176,1777924266426342656
0,0,162,GEMM(13,2,1),1777924266465881344,1777924266507824384,1777924266465878272
0,0,163,GEMM(14,2,1),1777924266507830528,1777924266548558080,1777924266507827456
