pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,0,POTRF(0),1777921906578974976,1777921906596594944,0
0,0,1,TRSM(1,0),1777921906592502016,1777921907159467264,0
0,0,2,TRSM(2,0),1777921906592502016,1777921907162866944,0
0,0,3,TRSM(3,0),1777921906592502016,1777921907159467264,0
0,0,4,TRSM(4,0),1777921906592502016,1777921907162687744,0
0,0,5,TRSM(5,0),1777921906592502016,1777921907175807232,0
0,0,6,TRSM(6,0),1777921906592503040,1777921907172466944,0
0,0,7,TRSM(7,0),1777921906592502016,1777921907175807232,0
0,0,8,TRSM(8,0),1777921906592503040,1777921907179116800,0
0,0,9,TRSM(9,0),1777921906838155520,1777921909369643264,0
0,0,10,TRSM(10,0),1777921906874909952,1777921909682993408,0
0,0,11,TRSM(11,0),1777921906850494720,1777921909369643264,0
0,0,12,TRSM(12,0),1777921906862764288,1777921909682993408,0
0,0,13,TRSM(13,0),1777921906912073984,1777921910750432512,0
0,0,14,TRSM(14,0),1777921906887243008,1777921909682993408,0
0,0,15,TRSM(15,0),1777921906899564800,1777921910750432512,0
0,0,31,SYRK(2,2,0),1777921906924409088,1777921907125516544,0
0,0,32,GEMM(3,2,0),1777921907668607232,1777921908870779136,0
0,0,33,GEMM(4,2,0),1777921907717515520,1777921909119644928,0
0,0,34,GEMM(5,2,0),1777921907693338880,1777921909119561984,0
0,0,35,GEMM(6,2,0),1777921907681010944,1777921909118512384,0
0,0,36,GEMM(7,2,0),1777921908883253504,1777921909356446976,0
0,0,37,GEMM(8,2,0),1777921907705534720,1777921909119561984,0
0,0,38,GEMM(9,2,0),1777921907965824256,1777921909355388160,0
0,0,39,GEMM(10,2,0),1777921906924409088,1777921907126749440,0
0,0,40,GEMM(11,2,0),1777921907668607232,1777921908870779136,0
0,0,41,GEMM(12,2,0),1777921907717515520,1777921909119722752,0
0,0,42,GEMM(13,2,0),1777921907693338880,1777921909119458560,0
0,0,43,GEMM(14,2,0),1777921907681010944,1777921909118512384,0
0,0,44,GEMM(15,2,0),1777921908883253504,1777921909356448000,0
0,0,58,SYRK(4,4,0),1777921907705534720,1777921909119644928,0
0,0,59,GEMM(5,4,0),1777921907965824256,1777921909356446976,0
0,0,60,GEMM(6,4,0),1777921906924409088,1777921907125516544,0
0,0,61,GEMM(7,4,0),1777921907668607232,1777921908883767552,0
0,0,62,GEMM(8,4,0),1777921907717515520,1777921909119644928,0
0,0,63,GEMM(9,4,0),1777921907693338880,1777921909119458560,0
0,0,64,GEMM(10,4,0),1777921907681010944,1777921909119458560,0
0,0,65,GEMM(11,4,0),1777921908883253504,1777921909357077760,0
0,0,66,GEMM(12,4,0),1777921907705534720,1777921909119561984,0
0,0,67,GEMM(13,4,0),1777921907965824256,1777921909355388160,0
0,0,68,GEMM(14,4,0),1777921907180354816,1777921907496023296,0
0,0,69,GEMM(15,4,0),1777921909369690368,1777921909683166464,0
0,0,81,SYRK(6,6,0),1777921909997273344,1777921910750433536,0
0,0,82,GEMM(7,6,0),1777921909682120960,1777921909997272320,0
0,0,83,GEMM(8,6,0),1777921909997273344,1777921910750433536,0
0,0,84,GEMM(9,6,0),1777921910829017344,1777921911378940160,0
0,0,85,GEMM(10,6,0),1777921909997272320,1777921910750432512,0
0,0,86,GEMM(11,6,0),1777921910750447872,1777921911378940160,0
0,0,87,GEMM(12,6,0),1777921907180354816,1777921907496023296,0
0,0,88,GEMM(13,6,0),1777921909369691392,1777921909683166464,0
0,0,89,GEMM(14,6,0),1777921909997273344,1777921910750433536,0
0,0,90,GEMM(15,6,0),1777921909682120960,1777921910750432512,0
0,0,100,SYRK(8,8,0),1777921909997273344,1777921910750434560,0
0,0,101,GEMM(9,8,0),1777921910829017344,1777921911378940160,0
0,0,102,GEMM(10,8,0),1777921909997272320,1777921910750433536,0
0,0,103,GEMM(11,8,0),1777921910829016320,1777921911378940160,0
0,0,104,GEMM(12,8,0),1777921907180354816,1777921907496023296,0
0,0,105,GEMM(13,8,0),1777921909369691392,1777921909683167488,0
0,0,106,GEMM(14,8,0),1777921909997273344,1777921910750433536,0
