pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,0,POTRF(0),1777921360859440128,1777921360876354560,0
0,0,1,TRSM(1,0),1777921360876356608,1777921360923461632,0
0,0,2,TRSM(2,0),1777921360923468800,1777921360970566656,0
0,0,3,TRSM(3,0),1777921360970573824,1777921361017615360,0
0,0,4,TRSM(4,0),1777921361017622528,1777921361064724480,0
0,0,5,TRSM(5,0),1777921361064731648,1777921361111845888,0
0,0,6,TRSM(6,0),1777921361111853056,1777921361158951936,0
0,0,7,TRSM(7,0),1777921361158958080,1777921361206091776,0
0,0,8,TRSM(8,0),1777921361206099968,1777921361253218304,0
0,0,9,TRSM(9,0),1777921361253225472,1777921361300325376,0
0,0,10,TRSM(10,0),1777921361300332544,1777921361347430400,0
0,0,11,TRSM(11,0),1777921361347437568,1777921361394513920,0
0,0,12,TRSM(12,0),1777921361394522112,1777921361441639424,0
0,0,13,TRSM(13,0),1777921361441648640,1777921361488690176,0
0,0,14,TRSM(14,0),1777921361488697344,1777921361535832064,0
0,0,15,TRSM(15,0),1777921361535840256,1777921361582958592,0
0,0,31,SYRK(2,2,0),1777921361582967808,1777921361624763392,0
0,0,32,GEMM(3,2,0),1777921361624767488,1777921361704080384,0
0,0,33,GEMM(4,2,0),1777921361704083456,1777921361783402496,0
0,0,34,GEMM(5,2,0),1777921361783406592,1777921361862734848,0
0,0,35,GEMM(6,2,0),1777921361862738944,1777921361942054912,0
0,0,36,GEMM(7,2,0),1777921361942059008,1777921362021386240,0
0,0,37,GEMM(8,2,0),1777921362021389312,1777921362100702208,0
0,0,38,GEMM(9,2,0),1777921362100705280,1777921362180024320,0
0,0,39,GEMM(10,2,0),1777921362180027392,1777921362259340288,0
0,0,40,GEMM(11,2,0),1777921362259344384,1777921362338664448,0
0,0,41,GEMM(12,2,0),1777921362338668544,1777921362417982464,0
0,0,42,GEMM(13,2,0),1777921362417985536,1777921362497305600,0
0,0,43,GEMM(14,2,0),1777921362497308672,1777921362576622592,0
0,0,44,GEMM(15,2,0),1777921362576625664,1777921362655936512,0
0,0,58,SYRK(4,4,0),1777921362655939584,1777921362697726976,0
0,0,59,GEMM(5,4,0),1777921362697731072,1777921362777042944,0
0,0,60,GEMM(6,4,0),1777921362777046016,1777921362856356864,0
0,0,61,GEMM(7,4,0),1777921362856360960,1777921362935662592,0
0,0,62,GEMM(8,4,0),1777921362935666688,1777921363014974464,0
0,0,63,GEMM(9,4,0),1777921363014978560,1777921363094294528,0
0,0,64,GEMM(10,4,0),1777921363094298624,1777921363173611520,0
0,0,65,GEMM(11,4,0),1777921363173615616,1777921363252925440,0
0,0,66,GEMM(12,4,0),1777921363252928512,1777921363332240384,0
0,0,67,GEMM(13,4,0),1777921363332243456,1777921363411550208,0
0,0,68,GEMM(14,4,0),1777921363411553280,1777921363490862080,0
0,0,69,GEMM(15,4,0),1777921363490866176,1777921363570178048,0
0,0,81,SYRK(6,6,0),1777921363570181120,1777921363611972608,0
0,0,82,GEMM(7,6,0),1777921363611975680,1777921363691291648,0
0,0,83,GEMM(8,6,0),1777921363691294720,1777921363770602496,0
0,0,84,GEMM(9,6,0),1777921363770605568,1777921363849914368,0
0,0,85,GEMM(10,6,0),1777921363849917440,1777921363929228288,0
0,0,86,GEMM(11,6,0),1777921363929232384,1777921364008534016,0
0,0,87,GEMM(12,6,0),1777921364008538112,1777921364087835648,0
0,0,88,GEMM(13,6,0),1777921364087838720,1777921364167151616,0
0,0,89,GEMM(14,6,0),1777921364167154688,1777921364246465536,0
0,0,90,GEMM(15,6,0),1777921364246469632,1777921364325771264,0
0,0,100,SYRK(8,8,0),1777921364325775360,1777921364367567872,0
0,0,101,GEMM(9,8,0),1777921364367570944,1777921364446868480,0
0,0,102,GEMM(10,8,0),1777921364446872576,1777921364526172160,0
0,0,103,GEMM(11,8,0),1777921364526175232,1777921364605473792,0
0,0,104,GEMM(12,8,0),1777921364605477888,1777921364684774400,0
0,0,105,GEMM(13,8,0),1777921364684778496,1777921364764070912,0
0,0,106,GEMM(14,8,0),1777921364764075008,1777921364843381760,0
0,0,107,GEMM(15,8,0),1777921364843384832,1777921364922698752,0
0,0,115,SYRK(10,10,0),1777921364922701824,1777921364964496384,0
0,0,116,GEMM(11,10,0),1777921364964499456,1777921365043822592,0
0,0,117,GEMM(12,10,0),1777921365043825664,1777921365123141632,0
0,0,118,GEMM(13,10,0),1777921365123144704,1777921365202466816,0
0,0,119,GEMM(14,10,0),1777921365202469888,1777921365281780736,0
0,0,120,GEMM(15,10,0),1777921365281783808,1777921365361093632,0
0,0,126,SYRK(12,12,0),1777921365361096704,1777921365402889216,0
0,0,127,GEMM(13,12,0),1777921365402892288,1777921365482191872,0
0,0,128,GEMM(14,12,0),1777921365482198016,1777921365561502720,0
0,0,129,GEMM(15,12,0),1777921365561506816,1777921365640817664,0
