pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,0,GETRF(0),1777919594130612480,1777919594159762688,0
0,0,1,TRSM_R(1,0),1777919594159769856,1777919594206904576,0
0,0,3,TRSM_R(2,0),1777919594206912768,1777919594254005504,0
0,0,4,TRSM_L(0,2),1777919594254014720,1777919594296422656,0
0,0,5,TRSM_R(3,0),1777919594296423680,1777919594343513344,0
0,0,7,TRSM_R(4,0),1777919594343523584,1777919594390595840,0
0,0,8,TRSM_L(0,4),1777919594390606080,1777919594433008896,0
0,0,9,TRSM_R(5,0),1777919594433010944,1777919594480134400,0
0,0,11,TRSM_R(6,0),1777919594480143616,1777919594527235328,0
0,0,12,TRSM_L(0,6),1777919594527244544,1777919594569652480,0
0,0,13,TRSM_R(7,0),1777919594569654528,1777919594616751360,0
0,0,15,TRSM_R(8,0),1777919594616759552,1777919594663831808,0
0,0,16,TRSM_L(0,8),1777919594663842048,1777919594706245888,0
0,0,17,TRSM_R(9,0),1777919594706247936,1777919594753337600,0
0,0,19,TRSM_R(10,0),1777919594753346816,1777919594800440576,0
0,0,20,TRSM_L(0,10),1777919594800450816,1777919594842856704,0
0,0,21,TRSM_R(11,0),1777919594842857728,1777919594889947392,0
0,0,23,TRSM_R(12,0),1777919594889955584,1777919594937025792,0
0,0,24,TRSM_L(0,12),1777919594937033984,1777919594979443968,0
0,0,25,TRSM_R(13,0),1777919594979444992,1777919595026563328,0
0,0,27,TRSM_R(14,0),1777919595026571520,1777919595073665280,0
0,0,28,TRSM_L(0,14),1777919595073674496,1777919595116082432,0
0,0,29,TRSM_R(15,0),1777919595116084480,1777919595163177216,0
0,0,32,GEMM(1,2,0),1777919595163186432,1777919595242484992,0
0,0,34,GEMM(1,4,0),1777919595242488064,1777919595321785600,0
0,0,36,GEMM(1,6,0),1777919595321789696,1777919595401091328,0
0,0,38,GEMM(1,8,0),1777919595401095424,1777919595480384768,0
0,0,40,GEMM(1,10,0),1777919595480387840,1777919595559675136,0
0,0,42,GEMM(1,12,0),1777919595559679232,1777919595638970624,0
0,0,44,GEMM(1,14,0),1777919595638974720,1777919595718258944,0
0,0,47,GEMM(2,2,0),1777919595718263040,1777919595797561600,0
0,0,49,GEMM(2,4,0),1777919595797564672,1777919595876865280,0
0,0,51,GEMM(2,6,0),1777919595876868352,1777919595956161792,0
0,0,53,GEMM(2,8,0),1777919595956165888,1777919596035465472,0
0,0,55,GEMM(2,10,0),1777919596035469568,1777919596114767104,0
0,0,57,GEMM(2,12,0),1777919596114770176,1777919596194057472,0
0,0,59,GEMM(2,14,0),1777919596194060544,1777919596273361152,0
0,0,62,GEMM(3,2,0),1777919596273364224,1777919596352655616,0
0,0,64,GEMM(3,4,0),1777919596352659712,1777919596431950080,0
0,0,66,GEMM(3,6,0),1777919596431954176,1777919596511253760,0
0,0,68,GEMM(3,8,0),1777919596511257856,1777919596590557440,0
0,0,70,GEMM(3,10,0),1777919596590560512,1777919596669850880,0
0,0,72,GEMM(3,12,0),1777919596669853952,1777919596749150464,0
0,0,74,GEMM(3,14,0),1777919596749153536,1777919596828459264,0
0,0,77,GEMM(4,2,0),1777919596828462336,1777919596907760896,0
0,0,79,GEMM(4,4,0),1777919596907763968,1777919596987060480,0
0,0,81,GEMM(4,6,0),1777919596987063552,1777919597066364160,0
0,0,83,GEMM(4,8,0),1777919597066367232,1777919597145663744,0
0,0,85,GEMM(4,10,0),1777919597145666816,1777919597224958208,0
0,0,87,GEMM(4,12,0),1777919597224961280,1777919597304249600,0
0,0,89,GEMM(4,14,0),1777919597304252672,1777919597383542016,0
0,0,92,GEMM(5,2,0),1777919597383545088,1777919597462839552,0
0,0,94,GEMM(5,4,0),1777919597462842624,1777919597542142208,0
0,0,96,GEMM(5,6,0),1777919597542146304,1777919597621443840,0
0,0,98,GEMM(5,8,0),1777919597621447936,1777919597700748544,0
0,0,100,GEMM(5,10,0),1777919597700751616,1777919597780053248,0
