bench,freq_mhz,tile,N,run_idx,t_start,t_end,duration_s
lu_mustard,2040,16,9600,0,1776286158.667551,1776286159.8524394,1.1848883628845215
lu_mustard,2040,16,9600,1,1776286160.052066,1776286161.234655,1.182588815689087
lu_mustard,2040,16,9600,2,1776286161.4012244,1776286162.5732036,1.1719791889190674
lu_mustard,2040,16,9600,3,1776286162.8410273,1776286164.0174098,1.1763825416564941
lu_mustard,2040,16,9600,4,1776286164.2389796,1776286165.4109585,1.1719789505004883
lu_mustard,1815,16,9600,0,1776286183.132036,1776286184.9520545,1.8200185298919678
lu_mustard,1815,16,9600,1,1776286185.138475,1776286186.9501243,1.8116493225097656
lu_mustard,1815,16,9600,2,1776286187.1415398,1776286188.599546,1.4580061435699463
lu_mustard,1815,16,9600,3,1776286188.730397,1776286189.9011197,1.1707227230072021
lu_mustard,1815,16,9600,4,1776286190.0079215,1776286191.1668003,1.1588788032531738
lu_mustard,1740,16,9600,0,1776286209.2205539,1776286211.2604818,2.0399279594421387
lu_mustard,1740,16,9600,1,1776286211.5073633,1776286213.5536954,2.0463321208953857
lu_mustard,1740,16,9600,2,1776286213.7523623,1776286214.963042,1.2106797695159912
lu_mustard,1740,16,9600,3,1776286215.0739973,1776286216.2489476,1.174950361251831
lu_mustard,1740,16,9600,4,1776286216.3518069,1776286217.5405343,1.1887273788452148
lu_mustard,1665,16,9600,0,1776286234.0586634,1776286235.2232566,1.16459321975708
lu_mustard,1665,16,9600,1,1776286235.4264207,1776286236.6090407,1.1826200485229492
lu_mustard,1665,16,9600,2,1776286236.741487,1776286237.9334168,1.191929817199707
lu_mustard,1665,16,9600,3,1776286238.1327536,1776286239.3126934,1.1799397468566895
lu_mustard,1665,16,9600,4,1776286239.4540977,1776286240.624835,1.1707372665405273
lu_mustard,1590,16,9600,0,1776286257.3086123,1776286258.4885645,1.1799521446228027
lu_mustard,1590,16,9600,1,1776286258.691989,1776286259.8838084,1.191819429397583
lu_mustard,1590,16,9600,2,1776286260.0416687,1776286261.242153,1.200484275817871
lu_mustard,1590,16,9600,3,1776286261.4550424,1776286262.6339197,1.178877353668213
lu_mustard,1590,16,9600,4,1776286262.8307786,1776286264.0246491,1.1938705444335938
lu_mustard,1515,16,9600,0,1776286282.4148426,1776286284.3302581,1.9154155254364014
lu_mustard,1515,16,9600,1,1776286284.5611527,1776286286.4516675,1.890514850616455
lu_mustard,1515,16,9600,2,1776286286.6542456,1776286288.5492885,1.895042896270752
lu_mustard,1515,16,9600,3,1776286288.7258468,1776286290.1420975,1.4162507057189941
lu_mustard,1515,16,9600,4,1776286290.2572124,1776286291.4666097,1.209397315979004
lu_mustard,1440,16,9600,0,1776286309.270545,1776286311.284789,2.0142440795898438
lu_mustard,1440,16,9600,1,1776286311.5601003,1776286313.5563617,1.9962613582611084
lu_mustard,1440,16,9600,2,1776286313.7003438,1776286315.6599405,1.9595966339111328
lu_mustard,1440,16,9600,3,1776286315.8037474,1776286317.2089658,1.4052183628082275
lu_mustard,1440,16,9600,4,1776286317.3495498,1776286318.586414,1.2368643283843994
lu_mustard,1365,16,9600,0,1776286337.342243,1776286339.3684275,2.026184558868408
lu_mustard,1365,16,9600,1,1776286339.5663965,1776286341.448689,1.8822925090789795
lu_mustard,1365,16,9600,2,1776286341.638275,1776286343.020185,1.3819100856781006
lu_mustard,1365,16,9600,3,1776286343.1355948,1776286344.3714619,1.2358670234680176
lu_mustard,1365,16,9600,4,1776286344.4970589,1776286345.7317238,1.2346649169921875
lu_mustard,1290,16,9600,0,1776286363.1508188,1776286364.4189923,1.2681734561920166
lu_mustard,1290,16,9600,1,1776286364.5991085,1776286365.850025,1.2509164810180664
lu_mustard,1290,16,9600,2,1776286366.008524,1776286367.2711172,1.2625932693481445
lu_mustard,1290,16,9600,3,1776286367.439029,1776286368.704929,1.2659001350402832
lu_mustard,1290,16,9600,4,1776286368.8560183,1776286370.1162465,1.260228157043457
lu_mustard,1215,16,9600,0,1776286387.1013367,1776286388.3621464,1.2608096599578857
lu_mustard,1215,16,9600,1,1776286388.622441,1776286389.9217947,1.2993535995483398
lu_mustard,1215,16,9600,2,1776286390.1170502,1776286391.4089208,1.2918705940246582
lu_mustard,1215,16,9600,3,1776286391.6121995,1776286392.8848245,1.2726249694824219
lu_mustard,1215,16,9600,4,1776286393.0689402,1776286394.339493,1.2705528736114502
lu_mustard,1140,16,9600,0,1776286411.7792535,1776286413.9130607,2.1338071823120117
lu_mustard,1140,16,9600,1,1776286414.131328,1776286416.1449375,2.0136094093322754
lu_mustard,1140,16,9600,2,1776286416.351204,1776286418.1523185,1.801114559173584
lu_mustard,1140,16,9600,3,1776286418.2807534,1776286419.5783534,1.2976000308990479
lu_mustard,1140,16,9600,4,1776286419.6961362,1776286421.0559075,1.3597712516784668
lu_mustard,1065,16,9600,0,1776286444.0290766,1776286446.1214194,2.0923428535461426
lu_mustard,1065,16,9600,1,1776286446.2956758,1776286448.2450562,1.9493803977966309
lu_mustard,1065,16,9600,2,1776286448.3674302,1776286449.6856003,1.3181700706481934
lu_mustard,1065,16,9600,3,1776286449.8062546,1776286451.1596806,1.3534259796142578
lu_mustard,1065,16,9600,4,1776286451.2983036,1776286452.61034,1.3120365142822266
lu_mustard,990,16,9600,0,1776286474.097082,1776286476.2403135,2.1432316303253174
lu_mustard,990,16,9600,1,1776286476.4353664,1776286478.5577204,2.122354030609131
lu_mustard,990,16,9600,2,1776286478.7582538,1776286480.4531398,1.6948859691619873
lu_mustard,990,16,9600,3,1776286480.5836089,1776286481.9314148,1.3478059768676758
lu_mustard,990,16,9600,4,1776286482.0960279,1776286483.4647038,1.368675947189331
lu_mustard,915,16,9600,0,1776286512.9101448,1776286514.4274495,1.5173046588897705
lu_mustard,915,16,9600,1,1776286514.6431017,1776286516.080335,1.4372332096099854
lu_mustard,915,16,9600,2,1776286516.3048127,1776286517.7597013,1.4548885822296143
lu_mustard,915,16,9600,3,1776286517.9674168,1776286519.471107,1.503690242767334
lu_mustard,915,16,9600,4,1776286519.6934118,1776286521.1582634,1.4648516178131104
