bench,freq_mhz,median_time_s,mean_time_s,total_energy_mj,edp
cholesky_mustard,2040,0.9155,0.9331,120830.000,110.6156
cholesky_mustard,1815,0.8295,0.8285,98984.000,82.1080
cholesky_mustard,1740,0.6161,0.6117,74667.000,46.0013
cholesky_mustard,1665,0.6189,0.6200,72657.000,44.9650
cholesky_mustard,1590,0.9176,0.9057,100193.000,91.9334
cholesky_mustard,1515,0.6202,0.6212,68484.000,42.4734
cholesky_mustard,1440,0.9843,1.0038,104908.000,103.2581
cholesky_mustard,1365,1.0155,0.9731,102217.000,103.8019
cholesky_mustard,1290,0.6512,0.6508,62995.000,41.0212
cholesky_mustard,1215,0.6710,0.8042,68913.000,46.2402
cholesky_mustard,1140,0.6710,0.6708,69946.000,46.9366
cholesky_mustard,1065,0.6756,0.6729,69106.000,46.6909
cholesky_mustard,990,1.0469,1.0375,102885.000,107.7124
cholesky_mustard,915,0.7183,0.7707,67998.000,48.8417
cholesky_mustard,840,0.9386,0.9455,91279.000,85.6757
cholesky_mustard,765,0.9697,0.9810,84130.000,81.5825
cholesky_mustard,690,0.8336,0.8320,81799.000,68.1855
cholesky_mustard,615,0.9504,0.9820,92113.000,87.5477
cholesky_mustard,540,1.0476,1.1238,99771.000,104.5155
cholesky_mustard,465,1.2084,1.2165,107484.000,129.8827
cholesky_mustard,390,1.4341,1.4606,123548.000,177.1808
cholesky_mustard,315,1.7663,1.7622,155552.000,274.7567
cholesky_mustard,240,2.3139,2.3195,195331.000,451.9690
