op_name,pe,freq_mhz,energy_consumed_uj,executiontime_ns,average_waittime_ns
GETRF(0),0,240,968599,41580544,0
TRSM_R(1;0),0,240,1628683,83454976,0
TRSM_R(2;0),0,240,1804787,83423232,0
TRSM_R(3;0),0,240,1820398,83449856,0
TRSM_R(4;0),0,240,1715519,83428352,0
TRSM_L(0;4),0,240,1250477,64271360,0
TRSM_R(5;0),0,240,1739862,83446784,0
TRSM_R(6;0),0,240,1730716,83453952,0
TRSM_R(7;0),0,240,1726055,83465216,0
TRSM_R(8;0),0,240,1734113,83392512,0
TRSM_L(0;8),0,240,1350201,64260096,0
TRSM_R(9;0),0,240,1748780,83449856,0
TRSM_R(10;0),0,240,1761709,83438592,0
TRSM_R(11;0),0,240,1766339,83454976,0
TRSM_R(12;0),0,240,1706739,81252352,0
TRSM_L(0;12),0,240,1329716,64257024,0
TRSM_R(13;0),0,240,1762258,83444736,0
TRSM_R(14;0),0,240,1786973,82496512,0
TRSM_R(15;0),0,240,1802568,83458048,0
GEMM(1;4;0),0,240,1837309,86294528,0
GEMM(1;8;0),0,240,1830231,86292480,0
GEMM(1;12;0),0,240,1827437,86292480,0
GEMM(2;4;0),0,240,1828615,86292480,0
GEMM(2;8;0),0,240,1829254,86292480,0
GEMM(2;12;0),0,240,1837135,86293504,0
GEMM(3;4;0),0,240,1732598,86292480,0
GEMM(3;8;0),0,240,1717641,86292480,0
GEMM(3;12;0),0,240,1833393,86292480,0
GEMM(4;4;0),0,240,1817954,86292480,0
GEMM(4;8;0),0,240,1841896,86292480,0
GEMM(4;12;0),0,240,1847823,86291456,0
GEMM(5;4;0),0,240,1903822,86292480,0
GEMM(5;8;0),0,240,1863434,86292480,0
GEMM(5;12;0),0,240,1823186,86292480,0
GEMM(6;4;0),0,240,1817092,86291456,0
GEMM(6;8;0),0,240,1811810,86292480,0
GEMM(6;12;0),0,240,1823517,86291456,0
GEMM(7;4;0),0,240,1843861,86293504,0
GEMM(7;8;0),0,240,1831862,86292480,0
GEMM(7;12;0),0,240,1844146,86292480,0
GEMM(8;4;0),0,240,1847248,86292480,0
GEMM(8;8;0),0,240,1778584,86291456,0
GEMM(8;12;0),0,240,1695934,86291456,0
GEMM(9;4;0),0,240,1845033,86293504,0
GEMM(9;8;0),0,240,1819979,86292480,0
GEMM(9;12;0),0,240,1827729,86292480,0
GEMM(10;4;0),0,240,1828823,86292480,0
GEMM(10;8;0),0,240,1825583,86292480,0
GEMM(10;12;0),0,240,1821222,86292480,0
GEMM(11;4;0),0,240,1820215,86292480,0
GEMM(11;8;0),0,240,1828523,86292480,0
GEMM(11;12;0),0,240,1826301,86292480,0
GEMM(12;4;0),0,240,1903795,86291456,0
GEMM(12;8;0),0,240,1859772,86291456,0
GEMM(12;12;0),0,240,1841045,86291456,0
GEMM(13;4;0),0,240,1839323,86293504,0
GEMM(13;8;0),0,240,1842479,86292480,0
GEMM(13;12;0),0,240,1846627,86292480,0
GEMM(14;4;0),0,240,1827216,86292480,0
GEMM(14;8;0),0,240,1822450,86292480,0
GEMM(14;12;0),0,240,1829618,86292480,0
GEMM(15;4;0),0,240,1829012,86292480,0
GEMM(15;8;0),0,240,1829574,86292480,0
GEMM(15;12;0),0,240,1756506,86292480,0
TRSM_L(1;4),0,240,3481017,167067648,11129086771
TRSM_L(1;8),0,240,3452989,176393216,18022
TRSM_L(1;12),0,240,4033351,168587264,18432
GEMM(2;4;1),0,240,4705948,237158400,18432
GEMM(2;8;1),0,240,7985725,388201472,18432
GEMM(2;12;1),0,240,5631785,279566336,18022
GEMM(3;4;1),0,240,4981619,230963200,17818
GEMM(3;8;1),0,240,5953290,276689920,18022
GEMM(3;12;1),0,240,5538743,255750144,17613
GEMM(4;4;1),0,240,4646551,252409856,17818
GEMM(4;8;1),0,240,6378013,294615040,18022
GEMM(4;12;1),0,240,5975438,289448960,17613
GEMM(5;4;1),0,240,6411137,303967232,18227
GEMM(5;8;1),0,240,4856374,238962688,17818
GEMM(5;12;1),0,240,6450602,314686464,18227
GEMM(6;4;1),0,240,5007792,248817664,18432
GEMM(6;8;1),0,240,8820395,389965824,18227
GEMM(6;12;1),0,240,5841957,320249856,18432
GEMM(7;4;1),0,240,3668452,160371712,18022
GEMM(7;8;1),0,240,3546728,181317632,17613
GEMM(7;12;1),0,240,3982626,184843264,17818
GEMM(8;4;1),0,240,3761335,171603968,17818
GEMM(8;8;1),0,240,4240772,216693760,18022
GEMM(8;12;1),0,240,3549219,159970304,18227
GEMM(9;4;1),0,240,5758380,260850688,18432
GEMM(9;8;1),0,240,5307550,277663744,18022
GEMM(9;12;1),0,240,3891350,189586432,18432
GEMM(10;4;1),0,240,4426773,207444992,18227
GEMM(10;8;1),0,240,5264412,231812096,18227
GEMM(10;12;1),0,240,7120022,364558336,18022
GEMM(11;4;1),0,240,5421243,243307520,17818
GEMM(11;8;1),0,240,6488148,330968064,18022
GEMM(11;12;1),0,240,7379437,341689344,18227
GEMM(12;4;1),0,240,8087945,373779456,17818
GEMM(12;8;1),0,240,6407215,321957888,17818
GEMM(12;12;1),0,240,6352997,322925568,18432
GEMM(13;4;1),0,240,6291941,286113792,18432
GEMM(13;8;1),0,240,6462635,323089408,18227
GEMM(13;12;1),0,240,6963349,324716544,18022
GEMM(14;4;1),0,240,7906501,365392896,18022
GEMM(14;8;1),0,240,6436919,327855104,18022
GEMM(14;12;1),0,240,8072768,387422208,18227
GEMM(15;4;1),0,240,4038513,194532352,18432
GEMM(15;8;1),0,240,4779549,233730048,18022
GEMM(15;12;1),0,240,3656237,171386880,17613
TRSM_L(2;4),0,240,3337073,147376128,5558175949
TRSM_L(2;8),0,240,3269437,165123072,18432
TRSM_L(2;12),0,240,3224455,163399680,18227
GEMM(3;4;2),0,240,7069906,333005824,18227
GEMM(3;8;2),0,240,8766079,421915648,18432
GEMM(3;12;2),0,240,8441664,407568384,17818
GEMM(4;4;2),0,240,5517642,269179904,18022
GEMM(4;8;2),0,240,5349600,242697216,17818
GEMM(4;12;2),0,240,5929855,298657792,17818
GEMM(5;4;2),0,240,5756049,272692224,18022
GEMM(5;8;2),0,240,6560984,308734976,18022
GEMM(5;12;2),0,240,9647658,459592704,18022
GEMM(6;4;2),0,240,4865435,241590272,17613
GEMM(6;8;2),0,240,7422670,370185216,17613
GEMM(6;12;2),0,240,6797173,310118400,18022
GEMM(7;4;2),0,240,3736204,180407296,17613
GEMM(7;8;2),0,240,3239444,169036800,18227
GEMM(7;12;2),0,240,3736436,168816640,17818
GEMM(8;4;2),0,240,5403618,259388416,17818
GEMM(8;8;2),0,240,4568837,218578944,18227
GEMM(8;12;2),0,240,3732222,178588672,18022
GEMM(9;4;2),0,240,5490416,265276416,17818
GEMM(9;8;2),0,240,4972673,237658112,18227
GEMM(9;12;2),0,240,6525282,309765120,18227
GEMM(10;4;2),0,240,5893208,277028864,18022
GEMM(10;8;2),0,240,5868755,290004992,18432
GEMM(10;12;2),0,240,6706622,311165952,18022
GEMM(11;4;2),0,240,6010410,317816832,17613
GEMM(11;8;2),0,240,7255998,338309120,18022
GEMM(11;12;2),0,240,7121930,338685952,18432
GEMM(12;4;2),0,240,5009871,230593536,18227
GEMM(12;8;2),0,240,5198417,248602624,18432
GEMM(12;12;2),0,240,5016110,250528768,18432
GEMM(13;4;2),0,240,7364505,366482432,18227
GEMM(13;8;2),0,240,6866479,314933248,18022
GEMM(13;12;2),0,240,8553255,410916864,17818
GEMM(14;4;2),0,240,6200545,295567360,17818
GEMM(14;8;2),0,240,7554600,371120128,17818
GEMM(14;12;2),0,240,5642675,269941760,17613
GEMM(15;4;2),0,240,3041694,149805056,18432
GEMM(15;8;2),0,240,3763568,185411584,18022
GEMM(15;12;2),0,240,3933737,189452288,18432
TRSM_L(3;4),0,240,3826441,192319488,1299502899
TRSM_L(3;8),0,240,5113300,234390528,18227
TRSM_L(3;12),0,240,4484411,225409024,18432
GEMM(4;4;3),0,240,5821128,281499648,18227
GEMM(4;8;3),0,240,6685171,309435392,18227
GEMM(4;12;3),0,240,5861216,281457664,18022
GEMM(5;4;3),0,240,6669151,331060224,18432
GEMM(5;8;3),0,240,9408594,458174464,18227
GEMM(5;12;3),0,240,8425990,399305728,18022
GEMM(6;4;3),0,240,8722928,412180480,17818
GEMM(6;8;3),0,240,7331716,352824320,17818
GEMM(6;12;3),0,240,7129625,354980864,18227
GEMM(7;4;3),0,240,3077224,151248896,18227
GEMM(7;8;3),0,240,3666737,155368448,17613
GEMM(7;12;3),0,240,2798185,150501376,18022
GEMM(8;4;3),0,240,4320844,209184768,18432
GEMM(8;8;3),0,240,4120002,189799424,17818
GEMM(8;12;3),0,240,5065465,232391680,18022
GEMM(9;4;3),0,240,5001217,252695552,18432
GEMM(9;8;3),0,240,7849958,369347584,18227
GEMM(9;12;3),0,240,5184076,263836672,18022
GEMM(10;4;3),0,240,6511875,296016896,18022
GEMM(10;8;3),0,240,8210358,397526016,17818
GEMM(10;12;3),0,240,5847909,285555712,18227
GEMM(11;4;3),0,240,5273916,266731520,18022
GEMM(11;8;3),0,240,8552283,383527936,18227
GEMM(11;12;3),0,240,8531551,413314048,17818
GEMM(12;4;3),0,240,6072626,300780544,17818
GEMM(12;8;3),0,240,5132144,270102528,18227
GEMM(12;12;3),0,240,7188958,315857920,17818
GEMM(13;4;3),0,240,5883872,302382080,18432
GEMM(13;8;3),0,240,8028359,374030336,17818
GEMM(13;12;3),0,240,6016534,299379712,18022
GEMM(14;4;3),0,240,5712183,276243456,17613
GEMM(14;8;3),0,240,6992555,325051392,18022
GEMM(14;12;3),0,240,5980444,304752640,18022
GEMM(15;4;3),0,240,2911218,132600832,18227
GEMM(15;8;3),0,240,2800555,130742272,17613
GEMM(15;12;3),0,240,2785736,133098496,18432
GETRF(4),0,240,830096,41587712,0
TRSM_R(5;4),0,240,1728798,83447808,0
TRSM_R(6;4),0,240,1808655,83433472,0
