frequency,mean_exec_s,mean_energy_j,median_exec_s,median_energy_j,energy_rsd,exec_rsd,edp,ed2p,e2dp
240,125.87045959679999,10607.10479999967,125.842408448,10606.941999999806,0.06349338673046487,0.05304468288987793,1335121.1561673817,168052313.5441993,14161770024.164143
315,125.52830684159998,10663.26640000008,125.507972608,10659.33999999892,0.29686756285152166,0.27454392823160595,1338541.7765929333,168024882.85245812,14273227551.339842
390,124.743948544,10676.270400000178,124.700822016,10671.315999999642,0.33615071723883916,0.3165259871658928,1331800.1254194526,166134006.31621695,14218658257.732225
465,124.607401216,10723.960399999469,124.605316096,10723.575000000186,0.22685229865281306,0.2323901312295291,1336284.8361872297,166510980.72163898,14330265666.391628
540,124.4678959616,10776.22680000048,124.539677696,10775.475999999791,0.3156536241404365,0.3239336538083677,1341294.2762010654,166948076.4240838,14454091325.885168
615,123.6798943232,10776.393999999389,123.642461952,10770.058999999426,0.4622690916294389,0.47919539802671773,1332823.271105091,164843441.3217794,14363028701.796463
690,124.3410146304,10904.82460000012,124.2482752,10897.928000001237,0.31570570304080015,0.31985368564030775,1355916.9551305608,168596089.95549646,14786036567.864998
765,124.5701420032,11008.520199999772,124.571646208,11009.231999999844,0.4990377693579213,0.4743598541727241,1371332.9245590672,170827137.14598656,15096346200.933254
795,124.40693514239999,11014.069200000167,124.408281344,11012.737000000663,0.20556466631073872,0.21295551213847538,1370226.5926183262,170465690.83825982,15091770510.778683
840,124.5888129024,11067.828400000371,124.742179584,11080.026000000536,0.3818504997290029,0.4049910785052237,1378927.6017635153,171798952.98206973,15261734072.342638
915,122.57829396480001,10982.472600000165,122.391279616,10965.877000000328,0.386545508208387,0.3344084099497491,1346212.7548231818,165016462.7998792,14784744693.616333
990,119.53802915840001,10828.410199999436,119.576390656,10829.440999999642,0.3516404124547014,0.3466983098302393,1294406.8142266488,154730839.50185677,14016367950.120619
1065,118.7219142656,10895.176400000044,118.816654592,10904.606000001542,0.28130895709265646,0.24455938763015386,1293496.1984693937,153566344.7775629,14092869255.05351
1140,118.49543587839999,10998.29960000012,118.72356864,11009.708000001498,0.27660411207585417,0.32992822203201433,1303248.3050232464,154428975.96151558,14333515311.838007
1215,116.48880798719999,11221.11599999927,116.529307136,11226.197999999858,0.24342627564319114,0.24224022056717026,1307134.4271260127,152266531.29494074,14667507034.37358
1290,115.8989835264,11387.758800000325,115.801895936,11390.5139999995,0.3022723637656851,0.4311916545956405,1319829.6695638543,152966917.1304351,15029901934.077305
1365,115.9076228608,11644.095199999772,115.775946496,11635.974000000395,0.3260408070294234,0.262184005262296,1349639.3949968251,156433493.9933703,15715329601.013128
