frequency,mean_exec_s,mean_energy_j,median_exec_s,median_energy_j,energy_rsd,exec_rsd,edp,ed2p,e2dp
240,104.6369989632,8809.769000000506,104.714331392,8819.821000000462,0.49329893900159283,0.49093382635980004,921827.7897190844,96457293.47708479,8121089885.206175
315,97.3404022272,8255.249000000022,96.806842368,8210.211000000127,1.4700383088617657,1.5070941148972599,803569.2581456926,78219754.80531444,6633664314.737988
390,93.19506380800001,7970.381999999843,93.06603136,7954.345999999903,0.9009129781041942,0.8990907325887559,742800.2590641201,69225317.54007962,5920401814.439883
465,94.0241762304,8040.459000000357,94.070302976,8046.656000000425,0.574188306267109,0.5956290498523378,755997.5339893394,71082045.36556146,6078567176.142659
540,91.3155621376,7903.58919999972,90.989674752,7874.57600000035,0.92694888718135,0.8885461694600449,721720.6907026387,65904330.57784839,5704183856.453713
615,90.69028520959999,7899.0042000001295,90.868754688,7914.5800000000745,0.9364657291082101,0.9726451461752498,716362.9437698399,64967159.68407543,5658553901.562422
690,91.9245672448,8055.426999999955,91.979826688,8060.686999998987,0.6548459980705811,0.679412701078414,740491.6409470735,68069373.64245155,5964976357.759328
765,92.99907507200001,8205.454199999756,91.701296128,8090.436999999918,2.674736754210039,2.695853396376322,763099.6511456352,70967561.74430993,6261579237.511301
795,91.7106422784,8116.565599999949,91.758656512,8118.287999999709,1.369324190496267,1.4103628198690146,744375.4442707624,68267150.09034097,6041772124.452749
840,92.9201384448,8246.556199999899,91.909718784,8157.375,3.3035472763820004,3.3241619180195263,766271.1437968145,71202020.76785524,6319098051.758635
915,90.82164997119999,8132.922800000199,90.122846208,8075.177000000142,2.327806079538211,2.365374243077525,738645.4677844098,67085000.12792894,6007346566.060638
990,89.30264212479999,8085.157000000216,89.459870208,8100.117999999784,1.6412008378597496,1.6386389594439013,722025.8820938407,64478818.95346929,5837692614.792347
1065,86.82410480640002,7966.103800000064,86.13038336,7905.203999999911,1.9906765467124912,1.9824300068514198,691649.8312298671,60051877.43603086,5509754348.829647
1140,85.65782190079999,8008.615200000257,85.962586368,8038.361999999732,1.524602989559412,1.593712582895891,686000.5344736617,58761311.60579851,5493914307.594067
1215,85.37115729920001,8222.359600000083,85.67985792,8255.64100000076,2.081169371887831,2.1575974432548986,701952.3547821944,59926484.89665457,5771704683.0860405
1290,86.65787525120001,8498.74339999985,86.039796224,8448.132999999449,2.525724067921041,2.7507577557874003,736483.0453491465,63822055.86849021,6259180420.8728485
